Regiment,Muster Date,Commanders,Alternate Designations
1st Arkansas Infantry Regiment,"May 6 , 1861",Colonel James F. Fagan Colonel John W. Colquitt,1st Arkansas Consolidated Infantry
1st Arkansas 30 Day Volunteer Regiment,"November 23 , 1861",Colonel James Haywood McCaleb,None
1st Arkansas Consolidated Infantry,"April 9 , 1865",Colonel Edward Alexander Howell,1st Arkansas Infantry . 2nd Arkansas Infantry . 5th Arkansas Infantry . 6th and 7th Arkansas Infantry . 8th Arkansas Infantry . 24th Arkansas Infantry . 13th Arkansas Infantry . 15th ( Josey 's ) Arkansas Infantry . 19th ( Dawsons 's ) Arkansas Infantry . 3rd Confederate Infantry
1st Arkansas Consolidated Infantry ( Trans-Mississippi ),"May 17 , 1864",Colonel Jordan E. Cravens,"1st Arkansas Consolidated Infantry Regiment 14th Arkansas Infantry Regiment ( Powers ' ) , 15th ( Northwest ) Arkansas Infantry Regiment , 16th Arkansas Infantry Regiment , 21st Arkansas Infantry Regiment ( Craven 's )"
2nd Arkansas Infantry Regiment,"June 26 , 1861",Colonel Thomas C. Hindman Lieutenant Colonel J. W. Bacoge Lieutenant Colonel Elbridge Brasher Colonel Daniel C. Govan Lieutenant Colonel E. Warfield,Hindman 's Legion 1st Arkansas Consolidated Infantry
2nd Arkansas 30 Day Volunteer Regiment,"November 18 , 1861",Major Allen,None
2nd Arkansas Consolidated Infantry,"May 17 , 1864",Colonel T.J. Reid,12th Arkansas Infantry Regiment 18th Arkansas Infantry Regiment 23rd Arkansas Infantry Regiment 8th Arkansas Infantry Battalion 12th Arkansas Infantry Battalion
3rd Arkansas Infantry Regiment,"July 5 , 1861",Colonel Albert Rust Colonel Van . H. Manning Lieutenant Colonel Robert S. Taylor ( acting ),None
3rd Arkansas Consolidated Infantry,"May 17 , 1864",Colonel H. G. P. Williams,"15th ( Gee/Johnson ) Arkansas Infantry Regiment . 19th Arkansas Infantry Regiment , ( Dockery 's ) 20th Arkansas Infantry Regiment"
4th Arkansas Infantry Regiment,"August 17 , 1861","Colonel Evander McNair , Colonel H. G. Bunn",Southwestern Arkansas Regiment 1st Arkansas Mounted Rifles ( Consolidated )
5th Arkansas Infantry Regiment,"June 28 , 1861 ( State Service ) July 27 , 1861 ( Confederate Service )","Colonel David C. Cross , Colonel Lucius Featherston , Colonel Peter V. Green , Colonel John E. Murray",Fighting Fifth 1st Arkansas Consolidated Infantry
6th Arkansas Infantry Regiment,"June 10 , 1861 ( State Service ) July 26 , 1861 , ( Confederate Service )",Colonel Richard Lyon Colonel Alexander Travis Hawthorn Colonel G. S. Smith Major William F. Douglas Lieutenant Colonel Peter Snyder,"6th Regiment , Arkansas State Troops 6th & 7th Arkansas Consolidated Infantry Regiment 1st Arkansas Consolidated Infantry"
7th Arkansas Infantry Regiment,"June 16 , 1861 ( State Service ) July 26 , 1861 ( Confederate Service )",Colonel Robert G. Shaver Colonel D. A. Gillespie,Bloody Seventh 6th & 7th Arkansas Consolidated Infantry Regiment 1st Arkansas Consolidated Infantry
8th Arkansas Infantry Regiment,"July 13 , 1861 ( State Service ) September 10 , 1861 ( Confederate Service )","Colonel William K. Patterson Colonel George F. Baucum , Colonel John H. Kelly",8th/19th Consolidated Arkansas Infantry Regiments 1st Arkansas Consolidated Infantry
9th Arkansas Infantry Regiment,"July 20 , 1861","Colonel John M. Bradley , Colonel Isaac L. Dunlop",Parson 's Regiment 1st Arkansas Mounted Rifles ( Consolidated )
10th Arkansas Infantry Regiment,"July 27 , 1861",Colonel T. D. Merrick Colonel A. R. Witt,Witt 's 10th Arkansas Cavalry
11th Arkansas Infantry Regiment,"July 28 , 1861 first election August 8 , 1861 , second election",Colonel Jabez M. Smith Colonel John L. Logan Colonel John Griffith,11th and 17th Consolidated Arkansas Infantry Regiment 11th Arkansas Cavalry Regiment
11th and 17th Consolidated Arkansas Infantry Regiment,March 1863,Colonel John L. Logan Colonel John Griffith,11th / 17th Arkansas Mounted Infantry
12th Arkansas Infantry Regiment,"July 27 , 1861","Colonel Edward W. Gantt Colonel T. J. Reid , Jr",2nd Arkansas Consolidated Infantry Regiment
13th Arkansas Infantry Regiment,"July 29 , 1861","Colonel L. Featherston , Colonel James A. McNeely , Colonel John E. Murry , Colonel James C. Tappan",1st Arkansas Consolidated Infantry
