Rank,Airport,Serves,Aircraft movements,Annual change
1,Toronto Pearson International Airport,Greater Toronto Area,"419,061",2.7%
2,Vancouver International Airport,Metro Vancouver,"296,537",-5.9%
3,Calgary International Airport,Calgary,"234,306",0.5%
4,Montréal-Pierre Elliott Trudeau International Airport,Greater Montreal,"217,555",2.5%
5,Montréal/Saint-Hubert Airport,Greater Montreal,"188,371",-5.7%
6,Ottawa Macdonald-Cartier International Airport,Ottawa,"172,443",0.3%
7,Buttonville Municipal Airport,Markham,"164,976",6.2%
8,Victoria International Airport,Victoria,"146,453",-13.8%
9,Boundary Bay Airport,Greater Vancouver,"144,544",-27.3%
10,London International Airport,London,"141,807",-12.1%
11,Calgary/Springbank Airport,Calgary,"136,625",-5.0%
12,Winnipeg James Armstrong Richardson International Airport,Winnipeg,"134,960",0.5%
13,Edmonton International Airport,Edmonton Capital Region,"130,715",3.0%
14,Québec City Jean Lesage International Airport,Quebec City,"126,856",-1.6%
15,St. Andrews Airport,Winnipeg,"119,927",8.5%
16,Greater Moncton International Airport,Moncton,"118,852",-33.3%
17,Billy Bishop Toronto City Airport,Toronto,"113,950",6.7%
18,Pitt Meadows Airport,Pitt Meadows,"108,400",-15.7%
19,Abbotsford International Airport,Abbotsford,"102,189",-20.5%
20,Region of Waterloo International Airport,Regional Municipality of Waterloo,"99,334",4.0%
