,Members,Group,State,Votes
1,Rodi Kratsa-Tsagaropoulou,EPP-ED,Greece,322
2,Alejo Vidal-Quadras,EPP-ED,Spain,300
3,Gérard Onesta,Greens/EFA,France,285
4,Edward McMillan-Scott,EPP-ED,United Kingdom,274
5,Mario Mauro,EPP-ED,Italy,262
6,Miguel Angel Martínez Martínez,PES,Spain,260
7,Luigi Cocilovo,ALDE,Italy,234
8,Mechtild Rothe,PES,Germany,217
9,Luisa Morgantini,GUE/NGL,Italy,207
10,Pierre Moscovici,PES,France,207
11,Manuel António Dos Santos,PES,Portugal,193
12,Diana Wallis,ALDE,United Kingdom,192
13,Marek Siwiec,PES,Poland,180
14,Adam Bielan,UEN,Poland,128
