Title / subject,Location and coordinates,Date,Artist / designer,Type,Designation
Statue of George II,Old Royal Naval College 51°29′01″N 0°00′21″W / 51.48361°N 0.00595°W / 51.48361 ; -0.00595 ( Statue of George II ),1735,John Michael Rysbrack,Statue,Grade II
The Immortality of Nelson,"Nelson Pediment , Old Royal Naval College",1809-1812,Benjamin West and Joseph Panzetta,Architectural relief sculpture,Grade I
"Bust of Horatio Nelson , 1st Viscount Nelson",Queen 's House,1835,Francis Leggatt Chantrey,Bust,
Statue of William IV,King William Walk 51°28′48″N 0°00′24″W / 51.47989°N 0.00654°W / 51.47989 ; -0.00654 ( Statue of William IV ),1845,Samuel Nixon,Statue,Grade II
Memorial to Joseph René Bellot,Cutty Sark Gardens 51°29′01″N 0°00′28″W / 51.48364°N 0.00786°W / 51.48364 ; -0.00786 ( Bellot Memorial ),1855,Philip Hardwick,Obelisk,Grade II
Memorial to the New Zealand Campaign ( 1863-1864 ),King William Walk 51°29′00″N 0°00′33″W / 51.4833°N 0.0091°W / 51.4833 ; -0.0091 ( New Zealand Campaign Memorial ),after 1864,?,Obelisk,Grade II
Busts of naval heroes,"Pepys Building , Old Royal Naval College",1874-1883,Charles Raymond Smith,Reliefs,Grade II
Statue of General James Wolfe,"Blackheath Avenue , Greenwich Park 51°28′40″N 0°00′03″W / 51.47782°N 0.00085°W / 51.47782 ; -0.00085 ( Statue of General Wolfe )",1930,Robert Tait McKenzie,Statue,Grade II
Statue of Walter Raleigh,Old Royal Naval College 51°28′59″N 0°00′31″W / 51.48306°N 0.00867°W / 51.48306 ; -0.00867 ( Statue of Walter Raleigh ),1959,William McMillan,Statue,Grade II
Large Standing Figure ( Knife Edge ),Greenwich Park,1961-1978,Henry Moore,Sculpture,N/A
Dolphin Dial,"Titanic Memorial Garden , Royal Observatory",1977-1978,Christopher St John Daniel and Edwin Russell,Equinoctial sundial with sculpture,N/A
Greenwich Mural,Woolwich Road,1972,Philippa Threlfall and Kennedy Collings,Mural,N/A
Statue of Captain James Cook,National Maritime Museum 51°28′50″N 0°00′17″W / 51.48051°N 0.0048°W / 51.48051 ; -0.0048 ( Statue of Captain Cook ),1994,Arthur Weller,Statue,N/A
Prime Meridian marker,Royal Observatory,1999,Christina Garzia,Sculpture,N/A
The Throne of Earthly Kings,Devonport House,2004,François Hameury,Sculpture,N/A
"Statue of Horatio Nelson , 1st Viscount Nelson",Trafalgar Tavern,2009,Lesley Povey,Statue,N/A
Nelson 's Ship in a Bottle,National Maritime Museum,2010,Yinka Shonibare,Sculpture,N/A
Statue of Yuri Gagarin,Royal Observatory,2011,Anatoly Novikov,Statue,N/A
Encompass,Greenwich Market,2016,Michael Speller,Sculpture,N/A
