Name,Type,Description
Erdbeerkuchen,Dessert,A German strawberry pie consisting of strawberries and sometimes whipped cream
Knackwurst,Snack,A sausage type of northern German origin from the mid-16th century . The manifold available varieties depend on the geographical region of their production
Hamburger Speck,Dessert,"A type of candy made out of foamed sugar with various coatings . The colors of the candy are often the same as the colors of Hamburg 's flag ( red and white ) , with a white central square and two red outer squares"
Labskaus,Main course or snack,"A dish made from corned beef , herring , mashed potatoes , and beetroot , served with a fried egg and a pickled cucumber . See also under Bremen and Lower Saxony"
Marmorkuchen,Cake,A cake with a streaked or mottled appearance ( like marble ) achieved by very lightly blending light and dark batter
"Birnen , Bohnen und Speck",Main course,"A dish composed of pears , beans , and bacon , invariably accompanied by potatoes"
Hamburger Aalsuppe [ de ],Soup,"A sweet and sour soup of eel , meat broth , dried fruits , vegetables , and herbs"
Franzbrötchen,Pastry,"A pastry made from Phyllo dough , covered with sugar and powdered cinnamon that is usually eaten for breakfast . It literally means Frenchman 's roll and is only rarely found outside of Hamburg , Germany"
Frikadelle,Main course or snack,"A type of flat meatball composed of pork , beef and onions commonly eaten with pasta salad , potatoes or simply in a bread roll with mustard or other condiments"
Hamburger Hummersuppe,Soup,A creamy lobster soup served with a small amount of whipped cream and garnished with dill
Hamburger Krabbensuppe,Soup,A creamy shrimp soup served with a small amount of whipped cream and garnished with dill
Heißewecken [ de ],Main course or snack,"A traditional pastry that has been proven in German-speaking since the late Middle Ages and was eaten in north and northwest Germany before the beginning of the pre-Easter Lent , especially from Rose Monday to Ash Wednesday"
Krabbentoast,Main course or snack,A bread dish that is made with vegetables and shrimp
Rote Grütze,Dessert,"A jelly/jam-like dessert or summer dish made from berries especially currants that can be eaten pure , but is often accompanied by milk or vanilla sauce"
