Position,Player,To club,Fee
ST,Karlo Primorac,PKNS,align=right| 0
ST,Muhamad Zamri Chin,Penang,align=right| 0
DC,Mohd Hasmarul Fadzir Hassan,Released,align=right| 0
DC,Bashahrul Abu Bakar,Released,align=right| 0
DL,Mohd Faizal Nasir,Perlis FA,align=right| 0
DC,Mohd Khairi Zainuddin,Perlis FA,align=right| 0
AMRC,Mohd Yusof Zainal Abidin,Johor Darul Takzim II F.C,align=right| 0
AMR,Famirul Asyraf Sayuti,Kelantan FA,align=right| 0
MC,Togaba Kontiwa Komlan,Released,align=right| 0
ST,K. Ravindran,PBAPP FC,align=right| 0
