Year,Horse,Jockey,SP
1900,Ambush II,Algy Anthony,4/1
1920,Troytown,Mr. Jack Anthony,6/1
1939,Workman,Tim Hyde,100/8
1947,Caughoo,Eddie Dempsey,100/1
1953,Early Mist,Bryan Marshall,20/1
1954,Royal Tan,Bryan Marshall,8/1
1955,Quare Times,Pat Taaffe,100/9
1975,L'Escargot,Tommy Carberry,13/2
1999,Bobbyjo,Paul Carberry,10/1
2000,Papillon,Ruby Walsh,10/1
2003,Monty 's Pass,Barry Geraghty,16/1
2005,Hedgehunter,Ruby Walsh,7/1 F
2006,Numbersixvalverde,Niall Madden,11/1
2007,Silver Birch,Robbie Power,33/1
2016,Rule The World,David Mullins,33/1
2018,Tiger Roll,Davy Russell,10/1
2019,Tiger Roll,Davy Russell,4/1 F
