Year,Artist,Work,Nominees
1990,k.d . lang,Absolute Torch and Twang,Rosanne Cash - I Do n't Want to Spoil the Party Emmylou Harris - Bluebird Kathy Mattea - Willow in the Wind Dolly Parton - Why 'd You Come in Here Lookin ' Like That
1991,Kathy Mattea,Where 've You Been,Mary Chapin Carpenter - Quittin ' Time Carlene Carter - I Fell in Love Reba McEntire - You Lie K.T . Oslin - Come Next Monday
1992,Mary Chapin Carpenter,Down at the Twist and Shout,Kathy Mattea - Time Passes By Reba McEntire - For My Broken Heart Tanya Tucker - Down to My Last Teardrop Trisha Yearwood - She 's in Love with the Boy
1993,Mary Chapin Carpenter,I Feel Lucky,Wynonna Judd - Wynonna Reba McEntire - The Greatest Man I Never Knew Lorrie Morgan - Something in Red Pam Tillis - Maybe It Was Memphis
1994,Mary Chapin Carpenter,Passionate Kisses,Emmylou Harris - High Powered Love Tanya Tucker - Soon Wynonna Judd - Only Love Trisha Yearwood - Walkaway Joe
1995,Mary Chapin Carpenter,Shut Up and Kiss Me,Wynonna Judd - Is It Over Yet Patty Loveless - How Can I Help You Say Goodbye Martina McBride - Independence Day Reba McEntire - She Thinks His Name Was John
1996,Alison Krauss,Baby Now That I 've Found You,Patty Loveless - You Do n't Even Know Who I Am Martina McBride - Safe in the Arms of Love Pam Tillis - Mi Vida Loca ( My Crazy Life ) Shania Twain - Any Man of Mine
1997,LeAnn Rimes,Blue,Mary Chapin Carpenter - Let Me into Your Heart Deana Carter - Strawberry Wine Alison Krauss - Baby Mine Trisha Yearwood - Believe Me Baby ( I Lied )
1998,Trisha Yearwood,How Do I Live,Deana Carter - Did I Shave My Legs For This ? Patty Loveless - The Trouble with the Truth LeAnn Rimes - How Do I Live Pam Tillis - All the Good Ones Are Gone
1999,Shania Twain,You 're Still the One,Emmylou Harris - Love Still Remains Faith Hill - This Kiss Lee Ann Womack - A Little Past Little Rock Trisha Yearwood - There Goes My Baby
