#,Artist,Artist 's nationality,Title
1,Timbaland presents OneRepublic,United States,Apologize
2,Leona Lewis,United Kingdom,Bleeding Love
3,Kid Rock,United States,All Summer Long
4,Schnuffel,Germany,Kuschel Song
5,Katy Perry,United States,I Kissed a Girl
6,Duffy,United Kingdom,Mercy
7,Ich + Ich,Germany,So soll es bleiben
8,Amy Macdonald,United Kingdom,This Is the Life
9,Madonna featuring Justin Timberlake and Timbaland,United States,4 Minutes
10,Gabriella Cilmi,Australia,Sweet About Me
11,Stefanie Heinzmann,Switzerland,My Man Is a Mean Man
12,Ich + Ich,Germany,Stark
13,Polarkreis 18,Germany,"Allein , Allein"
14,Mark Ronson featuring Amy Winehouse,United Kingdom,Valerie
15,Thomas Godoj,Germany,Love Is You
16,Pink,United States,So What
17,Guru Josh Project,United Kingdom,Infinity 2008
18,Mark Medlock,Germany,Summer Love
19,Paul Potts,United Kingdom,Nessun dorma
20,Söhne Mannheims,Germany,Das hat die Welt noch nicht gesehen
