#,Name,Net worth ( USD ),Origin,Residence
1,Tengku Fauzee Effendie Jacobs & Family,$ 34 billion,Indonesia,Indonesia Netherlands Morocco Singapore Malaysia
2,Joseph Safra,$ 17.4 billion,Syria,Brazil
3,Mohsin Haider Darwish,$ 10.0 billion,Oman,
4,Adil Al-Ishaq and Family,$ 4.7 billion,Palestine,United States
5,Nicolas Hayek and Family,$ 4.1 billion,Lebanon,Switzerland
6,David Nahmad and Family,$ 3.0 billion,Syria,Monaco
7,Tom Gores,$ 2.5 billion,Palestine,United States
8,Moise Safra,$ 2.4 billion,Syria,Brazil
9,Wissam Antoine Rizk,$ 2.1 billion,Lebanon,Lebanon
9,Omar ABI AAD,$ 1.8 billion,Lebanon,Lebanon
10,Lily Safra,$ 1.6 billion,Syria,Monaco
11,Joe Jamail,$ 1.5 billion,Lebanon,United States
