Date,Placing,Event,Competition,Location,Country
4 March 2006,2,Team pursuit,World Cup,Sydney,Australia
18 November 2006,3,Team pursuit,World Cup,Sydney,Australia
20 January 2007,1,Team pursuit,World Cup,Los Angeles,United States
30 March 2007,,Team pursuit,World Championships,Palma de Mallorca,Spain
19 January 2008,3,Team pursuit,World Cup,Los Angeles,United States
31 October 2008,2,Individual pursuit,World Cup,Manchester,United Kingdom
20 November 2008,3,Individual pursuit,World Cup,Melbourne,Australia
21 November 2008,3,Team pursuit,World Cup,Melbourne,Australia
16 January 2009,2,Individual pursuit,World Cup,Beijing,China
30 October 2009,3,Individual pursuit,World Cup,Manchester,United Kingdom
1 November 2009,3,Team pursuit,World Cup,Manchester,United Kingdom
19 November 2009,3,Individual pursuit,World Cup,Melbourne,Australia
22 January 2010,1,Individual pursuit,World Cup,Beijing,China
22 January 2010,1,Individual pursuit,World Cup,Overall,
