Name,Titles,Maiden Name,Origin,Death,Son ( s )
Malhun,,Mala,"Turk . Born in Anatolia . Daughter of Sheikh Edebali or Ömer Bey , Anatolian Turkish Bey or Ömer Abdülaziz Bey , Seljuk Vizier of Anatolia",21 November 1323,Orhan
Nilüfer نیلوفر,Valide Hātûn ( 1362 - 1383 ),Holofira,Byzantine Greek . Born in Bilecik,1383,Murad I
Devlet دولت,Valide Hātûn ( 5 July 1413-1414 ),Sultan,Oghuz Turkic of the Germiyan tribe . Born in Kütahya . Daughter of Süleyman Şah Çelebi,January 1414,Mehmed I
Emine,Valide Hātûn ( 1421 - 1449 ),Emine,"Oghuz Turkic . Born in Elbistan , Beylik of Dulkadir",1449,Murad II
Hüma هما,Valide Hātûn ( 1444 - 1446 ),Hatice Âlime,Undetermined ( Serb or Italian ),September 1449,Mehmed II
Emine Gülbahar Hatun,,,"Albanian . Born in Albania ,",April 1467,Bayezid II
Gülbahar گل بهار,,Ayşe,"Oghuz Turkic . Born in Elbistan , Beylik of Dulkadir",19 November 1505,Selim I
Hafsa حفصه,Valide Sultân ( 1520 - 19 Mar 1534 ),Ayşe,,19 March 1534,Suleiman I
Hürrem خُرَّم,Haseki Sultân ( 1533 - 15 Apr 1558 ),Aleksandra or Anastazja Lisowska,"Ruthenian . Born in Kingdom of Poland . Daughter of Havyrlo Lisowski , Orthodox Christian priest",15 April 1558,Selim II
Nurbanu نور بانو,Haseki Sultân ( 7 Sep 1566 - 15 Dec 1574 ) Valide Sultân ( 15 Dec 1574 - 7 Dec 1583 ),Cecilia Venier-Baffo or Rachel,"Undetermined ( born in Páros , Republic of Venice or Jew )",7 December 1583,Murad III
Safiye صفیه,Haseki Sultân ( 7 Dec 1583 - 15 Jan 1595 ) Valide Sultân ( 15 Jan 1595 - 22 Dec 1603 ),unknown,Albanian,10 November 1618,Mehmed III
Handan,Valide Sultân ( 22 Dec 1603 - 26 Nov 1605 ),unknown,unknown,26 November 1605,Ahmed I
Halime,Valide Sultân ( 22 Nov 1617 - 26 Feb 1618 ) and ( 19 May 1622 - 10 Sep 1623 ),unknown,Abkhaz,1623,Mustafa I
Mahfiruz,,,unknown,26 October 1620,Osman II
Mahpeyker Kösem,Haseki Sultân ( 26 Nov 1605 - 22 Nov 1617 ) Valide Sultân ( 10 Sep 1623 - 3 Sep 1651 ) Naib-i-Sultanat ( 10 Sep 1623 - 1632 ) and ( 8 Aug 1648 - 3 Sep 1651 ),Anastasia,"Greek . Born on Tinos , Republic of Venice",2 September 1651,Murad IV Ibrahim I
Turhan Hatice,Haseki Sultân ( 2 Jan 1642 - 12 Aug 1648 ) Valide Sultân ( 3 Sep 1651 - 4 Aug 1683 ) Naib-i-Sultanat ( 3 Sep 1651 - 1656 ),Nadia,Russian,4 August 1683,Mehmed IV
Aşub,Haseki Sultân ( until 12 Aug 1648 ) Valide Sultân ( 8 Nov 1687 - 4 Dec 1689 ),Katarina,unknown,4 December 1689,Süleyman II
Muazzez,Haseki Sultân ( until 12 Aug 1648 ),Eva,unknown / Polish Jew . Born in Polish-Lithuanian Commonwealth,1687,Ahmet II
Rabia Gülnuş,Haseki Sultân ( 4 Aug 1683 - 8 Nov 1687 ) Valide Sultân ( 6 Feb 1695 - 6 Nov 1715 ),Evmania Voria,"Cretan Greek . Born in Rethymno , Republic of Venice",6 November 1715,Mustafa II Ahmed III
