Team,Coach,Captain,Kit manufacturer,Shirt sponsor
Felda United,E. Elavarasan,Mohd Hamsani Ahmad,Kappa,FELDA Holdings
Johor FC,Sazali Saidon,Khairul Ismail,Promade,Kulim ( Malaysia ) Berhad
Kedah,Marijo Tot,Baddrol Bakhtiar,Line 7,PKNK
Kelantan,Bojan Hodak,Mohd Badri Mohd Radzi,Umbro,Happy Prepaid
Kuala Lumpur,Razip Ismail,Mohd Aslam Haja Najmudeen,Kronos,Kronos
Negeri Sembilan,Mohd Azraai Khor Abdullah,Muhammad Shukor Adan,Lotto,Negeri Roadstone Sdn Bhd
T-Team,Yunus Alif,Rosdi Talib,Admiral,Admiral
Perak,Jang Jung,Shahrulnizam Mustapa,Kika,Majlis Bandaraya Ipoh
PKNS,Abdul Rahman Ibrahim,Mohd Fadhil Mohd Hashim,Lotto,PKNS
Sabah,David McCreery,Hendrik Helmke,Adidas,Grace One
Sarawak,Robert Alberts,Guy Bwele,StarSport,Naim
Selangor,Irfan Bakti Abu Salim,Mohd Amri Yahyah,Kappa,Menteri Besar Incorporated
LionsXII,V. Sundramoorthy,Shahril Ishak,Nike,StarHub
Terengganu,Peter James Butler,Mohd Marzuki Yusof,SPECS,Top IT
