Site,Municipality,Type,Ref
Kawagoekan Site 河越館 跡 Kawagoekan ato,Kawagoe,2,617
Hundred Caves of Yoshimi 吉見百穴 Yoshimi hyakketsu,Yoshimi,1,593
Miyazuka Kofun 宮塚古墳 Miyazuka kofun,Kumagaya,1,608
Minuma Tsūsen-bori 見沼通船堀 Minuma tsūsen-bori,"Saitama , Kawaguchi",6,616
Komae Village Stone Age Dwelling Site 高麗村石器時代住居跡 Komae-mura sekki-jidai jūkyo ato,Hidaka,1,607
Kurohama Shell Mound 黒浜貝塚 Kurohama kaizuka,Hasuda,1,00003499
Saitama Kofun Cluster 埼玉古墳群 Saitama kofun-gun,Gyōda,1,603
Omishinkanji Kofun 小見真観寺古墳 Omishinkanji kofun,Gyōda,1,599
Shinpukuji Shell Mound 真福寺貝塚 Shinpukuji kaizuka,Saitama,1,615
Mizuko Shell Mound 水子貝塚 Mizuko kaizuka,Fujimi,1,612
Suedono Tile Kiln Site 水殿瓦窯跡 Suedono kawara kama ato,Misato,6,600
Ōya Tile Kiln Site 大谷瓦窯跡 Ōya kawara kama ato,Higashimatsuyama,6,609
Mochimoto Barrier Site 栃本関跡 Mochimoto-no-seki ato,Chichibu,6,613
Minamikawara Stone Tōba 南河原石塔婆 Minamikawara ishi tōba,Gyōda,3,596
Hachigata Castle Site 鉢形城跡 Hachigata-jō ato,Yorii,2,601
Hanawa Hokiichi Former Residence 塙保己一 旧宅 Hanawa Hokiichi kyū-taku,Honjō,8,605
Hiki Fortified Residence Sites 比企城館跡群 Hiki-jō kan ato-gun,Ranzan,2,614
Nogamishimogō Stone Tōba 野上下郷石塔婆 Nogamishimogō ishi tōba,Nagatoro,3,597
