Team,Home city,Stadium,Capacity,2018-19 season
Ascoli,Ascoli Piceno,Stadio Cino e Lillo Del Duca,"12,461",13th in Serie B
Benevento,Benevento,Stadio Ciro Vigorito,"16,867",3rd in Serie B
Chievo,Verona,Stadio Marc'Antonio Bentegodi,"31,045",20th in Serie A
Cittadella,Cittadella ( Padua ),Stadio Pier Cesare Tombolato,"7,623",7th in Serie B
Cosenza,Cosenza,Stadio San Vito-Gigi Marulla,"24,209",10th in Serie B
Cremonese,Cremona,Stadio Giovanni Zini,"20,641",9th in Serie B
Crotone,Crotone,Stadio Ezio Scida,"16,640",12th in Serie B
Empoli,Empoli ( Florence ),Stadio Carlo Castellani,"16,284",18th in Serie A
Frosinone,Frosinone,Stadio Benito Stirpe,"16,227",19th in Serie A
Juve Stabia,Castellammare di Stabia ( Naples ),Romeo Menti,"13,000",Serie C/C Champions
Livorno,Livorno,Stadio Armando Picchi,"14,267",14th in Serie B
Palermo,Palermo,Stadio Renzo Barbera,"36,365",11th in Serie B
Perugia,Perugia,Stadio Renato Curi,"23,625",8th in Serie B
Pescara,Pescara,Stadio Adriatico - Giovanni Cornacchia,"20,515",4th in Serie B
Pisa,Pisa,Arena Garibaldi - Romeo Anconetani,"10,000","3rd in Serie C/A , play-off winner"
Pordenone,Pordenone,Dacia Arena ( Udine ),"25,132",Serie C/B Champions
Salernitana,Salerno,Stadio Arechi,"37,180",15th in Serie B
Spezia,La Spezia,Stadio Alberto Picco,"10,336",6th in Serie B
Trapani,Trapani,Polisportivo Provinciale ( Erice ),"7,787","2nd in Serie C/C , play-off winner"
Virtus Entella,Chiavari ( Genoa ),Comunale Aldo Gastaldi,"5,500",Serie C/A Champions
