Riding,Candidate 's Name,Gender
Abitibi - Baie-James - Nunavik - Eeyou,Léandre Gervais,M
Abitibi - Témiscamingue,Suzie Grenon,F
Ahuntsic,Noushig Eloyan,F
Alfred-Pellan,Angelo G. Iacono,M
Argenteuil - Papineau - Mirabel,Daniel Fox,M
Bas-Richelieu - Nicolet - Bécancour,Rhéal Blais,M
Beauce,Claude Morin,M
Beauharnois - Salaberry,François Deslandres,M
Beauport - Limoilou,Lorraine Chartier,F
Berthier - Maskinongé,Francine Gaudet,F
Bourassa,Denis Coderre,M
Brome - Missisquoi,Denis Paradis,M
Brossard - La Prairie,Alexandra Mendès,F
Chambly - Borduas,Bernard Delorme,M
Charlesbourg - Haute-Saint-Charles,Martine Gaudreault,F
Châteauguay - Saint-Constant,Linda Schwey,F
Chicoutimi - Le Fjord,Marc Pettersen,M
Compton - Stanstead,William Hogg,M
Drummond,Pierre Côté,M
Gaspésie - Îles-de-la-Madeleine,Jules Duguay,M
