Year,Film,Role
1993,J.F.K . : Reckless Youth,"Young Joseph P. Kennedy , Jr"
1993,Family Pictures,Mack Eberlin ( age 8 )
1996,Monster by Mistake,Warren Patterson
1997-1999,Lassie,Timmy Cabot
1995-1998,Goosebumps,"Ryan , Eddie"
1998-1999,Little Men,Dan 'Looking Forward ' Maddison
2002-2003,2030 CE,Hart Greyson
2003,Black Sash,Trip Brady
2003,Student Seduction,Josh Gains
2003-2004,Wild Card,Julian
2004-2005,North Shore,Gabriel McKay
2005,Code Breakers,Bob Blaik
2005,Gospel of Deceit,Luke
2007,Instant Star,Hunter
2007-2008,Smallville,Jacob Finley
2008,Psych,Bryan Frou / Brody
2008-2009,The Best Years,Jake
2010,The Lost Future,Savan
2012,A Star for Christmas,Alex
2013-2014,Cedar Cove,Seth Gunderson
