Name,Suburb,LGA,Opened,Website
Centenary Heights State High School,Centenary Heights,Toowoomba,1968,Website
Charleville State High School,Charleville,Murweh,1961,Website
Chinchilla State High School,Chinchilla,Western Downs,1963,Website
Clifton State High School,Clifton,Toowoomba,1966,Website
Cunnamulla State School,Cunnamulla,Paroo,1877,Website
Dalby State High School,Dalby,Western Downs,1954,Website
Goondiwindi State High School,Goondiwindi,Goondiwindi,1964,Website
Harristown State High School,Harristown,Toowoomba,1955,Website
Miles State High School,Miles,Western Downs,1979,Website
Oakey State High School,Oakey,Toowoomba,1964,Website
Pittsworth State High School,Pittsworth,Toowoomba,1967,Website
Quilpie State College,Quilpie,Quilpie,1918,Website
Roma State College,Roma,Maranoa,2006,Website
St George State High School,St George,Balonne,1978,Website
Stanthorpe State High School,Stanthorpe,Southern Downs,1961,Website
Tara Shire State College,Tara,Western Downs,1912,Website
Toowoomba State High School,Mount Lofty,Toowoomba,1919,Website
Wilsonton State High School,Wilsonton,Toowoomba,1998,Website
Warwick State High School,Warwick,Southern Downs,1912,Website
