Medal,Name,Sport,Event,Date
Silver,Cheung King Lok,Cycling,Men 's Individual Pursuit,14 November
Silver,Wong Wan Yiu,Cycling,Women 's Points Race,16 November
Silver,Cheung King Wai Choi Ki Ho Cheung King Lok Kwok Ho Ting,Cycling,Men 's Team Pursuit,16 November
Silver,Zheng Tianhui,Wushu,Women 's Jianshu\Qiangshu All-Round,14 November
Silver,He Jingde,Wushu,Men 's Nanquan\Nangun All-Round,15 November
Silver,Kam Po Wong,Cycling,Men 's Points Race,17 November
Silver,Kwong Wing Chow Sau Wah So,Rowing,Lightweight Men 's Double Sculls,18 November
Silver,Siu Lun Cheung,Fencing,Men 's Individual Foil,20 November
Silver,Sin Ying Au,Fencing,Women 's Individual Sabre,18 November
Silver,Hong Kong,Rugby,Men 's,23 November
Silver,Hong Kong,Sailing,Women 's Mistral,20 November
Silver,Hong Kong,Sailing,Women 's RS : X,20 November
Silver,Annie Au,Squash,Women 's Individual,21 November
Silver,Hong Kong,Squash,Women 's Team,25 November
Silver,Yuk Cheung Huajun Jiang,Table Tennis,Mixed Doubles,19 November
