Season,Event type,Location,Format,Date,Rank
2003-04,Grand Prix,Anaheim,Extended,"December 13-14 , 2003",6
2003-04,Grand Prix,Oakland,Limited,"February 7-8 , 2004",7
2009,Grand Prix,Chicago,Legacy,"March 7-8 , 2009",3
2009,Pro Tour,Honolulu,Block Constructed and Booster Draft,"June 5-7 , 2009",3
2010,Pro Tour,Amsterdam,Extended and Booster Draft,"September 3-5 , 2010",1
2011,Pro Tour,Paris,Standard and Booster Draft,"February 10-13 , 2011",2
2012,Grand Prix,Seattle-Tacoma,Limited,"March 3-4 , 2012",6
2012,Grand Prix,Mexico City,Limited,"March 24-25 , 2012",1
2012-13,Grand Prix,Anaheim,Block Constructed,"May 26-27 , 2012",2
2012-13,Grand Prix,San Jose,Team Limited,"October 13-14 , 2012",1
2012-13,Grand Prix,Portland,Modern,"May 11-12 , 2013",8
2013-14,Pro Tour,Dublin,Standard and Booster Draft,"October 11-13 , 2013",6
2013-14,Grand Prix,Albuquerque,Standard,"November 23-24 , 2013",8
2014-15,Grand Prix,Salt Lake City,Limited,"September 6-7 , 2014",5
2014-15,Grand Prix,San Jose,Team Limited,"January 31-February 1 , 2015",2
2015-16,Grand Prix,San Diego,Standard,"August 8-9 , 2015",3
2015-16,Worlds,Seattle,Special,"August 27-30 , 2015",3
2015-16,Grand Prix,Oklahoma City,Modern,"September 12-13 , 2015",7
2016-17,Grand Prix,Portland,Standard,"August 13-14 , 2016",7
2016-17,Grand Prix,Louisville,Team Limited,"September 10-11 , 2016",4
