Member,Electorate,Province,MP 's term,Election date
John Cuff,Akaroa,Canterbury,First,28 December
Logan Campbell,City of Auckland,Auckland,First,27 October
Thomas Beckham,City of Auckland,Auckland,First,27 October
William Daldy,City of Auckland,Auckland,First,27 October
Frederick Merriman,Auckland Suburbs,Auckland,Second,27 October
Walter Brodie,Auckland Suburbs,Auckland,First,27 October
Hugh Carleton,Bay of Islands,Auckland,Second,24 November
Dingley Brittin,Christchurch Country,Canterbury,First,20 December
John Hall,Christchurch Country,Canterbury,First,20 December
Henry Sewell,Town of Christchurch,Canterbury,Second,18 December
John Cargill,Dunedin Country,Otago,Second,11 December
William Cargill,Dunedin Country,Otago,First,11 December
James Macandrew,Town of Dunedin,Otago,Second,11 December
Charles Brown,Grey and Bell,New Plymouth,First,8 November
Alfred Ludlam,Hutt,Wellington,Second,16 November
Dillon Bell,Hutt,Wellington,First,16 November
James FitzGerald,Town of Lyttelton,Canterbury,Second,21 December
Charles Parker,Motueka and Massacre Bay,Nelson,First,8 November
Alfred Domett,Town of Nelson,Nelson,First,12 November
Edward Stafford,Town of Nelson,Nelson,First,12 November
