Season,Player,School,Position,Class
1976-77,Cedric Maxwell,UNC Charlotte,PF / C,Senior
1977-78,Wayne Cooper,New Orleans,C,Senior
1978-79,Rory White,South Alabama,PF,Sophomore
1979-80,James Ray,Jacksonville,PF,Senior
1980-81,Ed Rains,South Alabama,SF,Senior
1981-82,Oliver Robinson,UAB,SG,Senior
1982-83,Charlie Bradley,South Florida,SF,Sophomore
1982-83,Calvin Duncan,Virginia Commonwealth,SG,Sophomore
1983-84,Terry Catledge,South Alabama,PF,Junior
1984-85,Terry Catledge ( 2 ),South Alabama,PF,Senior
1985-86,Kenny Gattison,Old Dominion,C,Senior
1986-87,Tellis Frank,Western Kentucky,PF,Senior
1987-88,Byron Dinkins,UNC Charlotte,PG,Junior
1988-89,Jeff Hodge,South Alabama,SG,Senior
1989-90,Chris Gatling,Old Dominion,PF,Junior
1990-91,Chris Gatling ( 2 ),Old Dominion,PF,Senior
1991-92,Ron Ellis,Louisiana Tech,PF,Senior
1992-93,Ervin Johnson,New Orleans,C,Senior
1993-94,Michael Allen,Louisiana-Lafayette,G,Senior
1993-94,Jeff Clifton,Arkansas State,F,Senior
