Stadium,Capacity,City,Province,Home Team ( s )
Rogers Centre,"49,539",Toronto,Ontario,Toronto Blue Jays
Olympic Stadium,"45,757",Montreal,Quebec,
Raymond Chabot Grant Thornton Park,"10,332",Ottawa,Ontario,Ottawa Champions
RE/MAX Field,"9,200",Edmonton,Alberta,Edmonton Prospects
Shaw Park,"7,481",Winnipeg,Manitoba,Winnipeg Goldeyes
Nat Bailey Stadium,"6,500",Vancouver,British Columbia,Vancouver Canadians
Foothills Stadium,"6,000",Calgary,Alberta,Calgary Dinos
Labatt Park,"5,200",London,Ontario,London Majors
Monarch Park Stadium,"5,000",Toronto,Ontario,
St. Patrick 's Park,"5,000",St. Johns,Newfoundland and Labrador,
Parc Victoria,"4,500",Quebec City,Quebec,Capitales de Québec
Royal Athletic Park,"4,247",Victoria,British Columbia,Victoria HarbourCats
Stade Fernand-Bédard,"4,500",Trois-Rivières,Quebec,Trois-Rivières Aigles
Kiwanis Park,"3,500",Moncton,New Brunswick,Moncton Fisher Cats
Andrews Field,"3,326",Brandon,Manitoba,
Port Arthur Stadium,"3,031",Thunder Bay,Ontario,Thunder Bay Border Cats
Athletic Park,"3,000",Medicine Hat,Alberta,Medicine Hat Mavericks
Spitz Stadium,"3,000",Lethbridge,Alberta,Lethbridge Bulls
Bernie Arbour Memorial Stadium,"3,000",Hamilton,Ontario,Hamilton Cardinals
Welland Stadium,"2,500",Welland,Ontario,Welland Jackfish
