Name,From,Until
Alexandru Moșanu,03.09.1990,02.02.1993
Petru Lucinschi,04.02.1993,09.01.1997
Dumitru Moțpan,04.03.1997,23.04.1998
Dumitru Diacov,23.04.1998,20.03.2001
Eugenia Ostapciuc,20.03.2001,24.03.2005
Marian Lupu,24.03.2005,01.04.2009
Ivan Călin ( Acting ),05.05.2009,12.05.2009
Vladimir Voronin,12.05.2009,28.08.2009
Mihai Ghimpu,28.08.2009,29.12.2010
Marian Lupu,30.12.2010,25.4 2013
Liliana Palihovici ( acting ),25.04 2013,30.5 2013
Igor Corman,30.05 2013,23.01.2015
Andrian Candu,23.01.2015,24.02.2019
Zinaida Greceanii,8.06.2019,Incumbent
