Position,Name,School,ABCA,BA
Pitcher,Mike Cherry,The Citadel,Y,Y
Pitcher,Jim Hickey,Texas - Pan American,Y,Y
Pitcher,Calvin Schiraldi,Texas,Y,Y
Pitcher,Dennis Livingston,Oklahoma State,-,Y
Catcher,Andy Allanson,Richmond,Y,-
Catcher,Terry Bell,Old Dominion,-,Y
First baseman,Dave Magadan ♦,Alabama,Y,Y
Second baseman,Jeff Trout,Delaware,Y,Y
Third baseman,Carey Ross,Central Michigan,Y,-
Third baseman,Chris Sabo,Michigan,-,Y
Shortstop,Jeff Kunkel,Rider,-,Y
Shortstop,Bill Merrifield,Wake Forest,Y,-
Outfielder,Ben Abner,Georgia Southern,Y,Y
Outfielder,Shane Mack,UCLA,Y,Y
Outfielder,Kerwin Danley,San Diego State,Y,-
Outfielder,Rafael Palmeiro,Mississippi State,-,Y
Designated hitter,Eric Hardgrave,Stanford,Y,-
Designated hitter,Russ Morman,Wichita State,-,Y
Utility player,Rayner Noble,Houston,Y,-
