No,Player,Position,Previous club
1,Richard Owen,Full Back,Castleford Tigers
2,Kirk Dixon,Wing,Hull
3,Michael Shenton,Center,Castleford Tigers
4,James Evans,Center,Bradford Bulls
5,Michael Wainwright,Wing,Batley Bulldogs
6,Rangi Chase,Stand Off,St George Illawarra Dragons
7,Brent Sherwin,Half Back,Canterbury Bulldogs
8,Mitchell Sargent,Prop,Newcastle Knights
9,Ryan Hudson ( Captain ),Hooker,Huddersfield Giants
10,Craig Huby,Prop,Castleford Tigers
11,Brett Ferres,Second Row,Wakefield Trinity Wildcats
12,Ryan Clayton,Second Row,Salford City Reds
13,Joe Westerman,Loose Forward,Castleford Tigers
14,Stuart Jones,Second Row,Huddersfield Giants
15,Liam Higgins,Prop,Hull
16,Chris Feather,Prop,Bradford Bulls
17,Ryan Boyle,Prop,Castleford Tigers
18,Nathan Massey,Second Row,Castleford Tigers
19,Kirk Netherton,Hooker,Hull Kingston Rovers
20,James Ford,Center,Sheffield Eagles
