Season,Final Four MVP,Club
1987-88,Bob McAdoo *,Tracer Milano
1988-89,Dino Rađja *,Jugoplastika
1989-90,Toni Kukoč,Jugoplastika
1990-91,Toni Kukoč ( 2× ),Pop 84
1991-92,Predrag Danilović,Partizan
1992-93,Toni Kukoč ( 3× ),Benetton Treviso
1993-94,Žarko Paspalj,Olympiacos
1994-95,Arvydas Sabonis ***,Real Madrid Teka
1995-96,Dominique Wilkins *,Panathinaikos
1996-97,David Rivers,Olympiacos
1997-98,Zoran Savić,Kinder Bologna
1998-99,Tyus Edney,Žalgiris
1999-00,Željko Rebrača,Panathinaikos
2000-01 † ( SuproLeague ),Ariel McDonald,Maccabi Elite Tel Aviv
2000-01 † ( EuroLeague ),Manu Ginóbili,Kinder Bologna
2001-02,Dejan Bodiroga,Panathinaikos
2002-03,Dejan Bodiroga ( 2× ),FC Barcelona
2003-04,Anthony Parker,Maccabi Elite Tel Aviv
2004-05,Šarūnas Jasikevičius,Maccabi Elite Tel Aviv
2005-06,Theo Papaloukas,CSKA Moscow
