Year,Show,Role,Channel,Notes
1996,Kahan Se Kahan Tak,,Zee TV,Supporting Role
1998 - 1999,Aashirwad,Preeti Choudhary / Preeti Vijay Mansingha,Zee TV,Lead Role
1999,Aahat - The Room Mate : Part 1 & Part 2,Episode 174 & Episode 175,Sony TV,Episodic Role
1999,X Zone - Hairat,Kavita ( Episode 65 ),Zee TV,Episodic Role
1999 - 2000,Kartavya,Padma,Zee TV,Lead Role
2001 - 2003,Kohi Apna Sa,Khushi Vishal Gill,Zee TV,Lead Role
2003,Son Pari,Chulbuli 229,Star Plus,Supporting Role
2003 - 2004,Kucchh Pal Saath Tumhara,,Sahara One,Supporting Role
2003 - 2004,Awaz - Dil Se Dil Tak,Sargam,Zee TV,Lead Role
2004,Aakrosh,,DD National,Supporting Role
2004 - 2005,Prratima,Prema Ghosh,Sahara One,Supporting Role
2004 - 2006,Saarrthi,Manasvi Satya Goenka,Star Plus,Supporting Role
2006,Sati ... Satya Ki Shakti,Advocate Sati Razdan,Sahara One,Lead Role
2006,Viraasat,Gargi Kunal Kharbanda,Star Plus,Supporting Role
2007,Asambhav,Shubhra Adinath Shastri,Zee Marathi,Lead Role
2007 - 2008,Raavan,Mandodari,Zee TV,Supporting Role
2011,Pavitra Rishta,Aashna Digvijay Kirloskar,Zee TV,Cameo Role
2011 - 2012,Ekach Ya Janmi Janu,Shreekant 's Ex-wife,Zee Marathi,Supporting Role
2012,Hum Ne Li Hai- Shapath,Advocate Tanisha,Life OK,Supporting Role
2012,Sapne Suhane Ladakpan Ke,Sneha Akash Kumar,Zee TV,Cameo Role
