Team,Titles,Runners-up,Total,Year ( s ) won,Year ( s ) lost
Wellington Saints,11,8,19,"1984 , 1985 , 1987 , 1988 , 2003 , 2010 , 2011 , 2014 , 2016 , 2017 , 2019","1983 , 1986 , 1991 , 2001 , 2008 , 2012 , 2015 , 2018"
Auckland Stars,9,4,13,"1982 , 1983 , 1995 , 1996 , 1997 , 1999 , 2000 , 2004 , 2005","1984 , 1985 , 1989 , 2006"
Canterbury Rams,4,4,8,"1986 , 1989 , 1990 , 1992","1987 , 1993 , 1994 , 1999"
Waikato Pistons,4,2,6,"2001 , 2002 , 2008 , 2009","2003 , 2010"
Nelson Giants,3,8,11,"1994 , 1998 , 2007","1990 , 1996 , 1997 , 2000 , 2002 , 2004 , 2009 , 2013"
Southland Sharks,3,1,4,"2013 , 2015 , 2018",2017
Hutt Valley Lakers,2,0,2,"1991 , 1993",
Hawke 's Bay Hawks,1,6,7,2006,"1995 , 2005 , 2007 , 2011 , 2014 , 2019"
Auckland Pirates,1,0,1,2012,
Harbour Heat,0,2,2,,"1988 , 1998"
Waitemata Dolphins,0,1,1,,1982
Manawatu Jets,0,1,1,,1992
Super City Rangers,0,1,1,,2016
