Rank,Player,Goals,Caps,"Clubs ( only in Jia-A & CSL , the clubs are listed with current name )"
1,Elkeson,102,155,2013-2015 Guangzhou Evergrande ; 2016-2019 Shanghai SIPG ; 2019-present Guangzhou Evergrande
2,Eran Zahavi,85,94,2016-present Guangzhou R & F
3,Ricardo Goulart,71,104,2015-2018 Guangzhou Evergrande
4,James Chamanga,70,217,2008-2012 Dalian Shide ; 2013-2017 Liaoning Hongyun
5,Tiago Jorge Honorio,66,157,"2000-2004 Shenzhen Shangqingyin ; 2006 Shanghai Liancheng ; 2007 , 2008 Beijing Guoan ; 2010 Shenzhen Ruby"
6,Luis Alfredo Ramírez,63,143,2006 Shanghai Shenhua ; 2007-2009 Guangzhou Pharmaceutical ; 2010-2011 Hangzhou Greentown
7,Giovanni Moreno,59,176,2012-present Shanghai Shenhua
8,Aloísio,53,103,2014-2017 Shandong Luneng ; 2016-present Hebei China Fortune
9,Casiano Wilberto Delvalle Ruiz,51,95,1997-1999 & 2002-2003 Beijing Guoan ; 2000-2001 Shandong Luneng
10,Zoran Janković,50,119,2002-2007 Dalian Shide ;
11,Darío Conca,46,111,2011-2013 Guangzhou Evergrande ; 2015-2016 Shanghai SIPG
12,Odion Ighalo,43,64,2017- Changchun Yatai
13,Muriqui,43,86,2010-2014 & 2017 Guangzhou Evergrande
14,Roda Antar,42,183,2009-2014 Shandong Luneng ; 2014-2015 Jiangsu Guoxin-Sainty ; 2015 Hangzhou Greentown ;
15,Diego Tardelli,41,73,2015-2018 Shandong Luneng
16,Kwame Ayew,40,84,2003 Changsha Ginde ; 2004-2006 Shaanxi Chanba
17,Branko Jelić,40,97,2003-2005 Beijing Guoan ; 2006-2007 Xiamen Bluelion ;
18,Vicente de Paula Neto,40,144,2005 & 2007 Wuhan Guanggu ; 2006 & 2008-2009 Shaanxi Chanba ; 2010 Shanghai Shenhua
19,Saúl Martínez,39,113,2002-2005 & 2007 Shanghai Shenhua ; 2006 Shanghai Liancheng
20,Cristian Dănălache,37,73,2011-2013 Jiangsu Guoxin-Sainty
