Name,Region,Type,Description
Ajoblanco,Granada and Málaga ( Andalusia ),cold soup,"a cold soup made of bread , crushed almonds , garlic , water , olive oil , salt and sometimes vinegar . It is usually served with grapes or slices of melon"
Cocido Cocidos,Madrid,stew,"a traditional chickpea-based stew from Madrid , Spain made with vegetables , potatoes and meat"
Escudella,Catalonia,stew,a dense soup with big pasta
Caparrones,La Rioja,stew,a bean and sausage stew
Fabada Asturiana,Asturias,stew,a rich bean stew
Gazpacho,Andalusia,cold soup,"a cold soup made with raw tomato , cucumber , pepper , onion and some garlic , olive oil , wine vinegar , water , and salt . Typically drunk in summer"
Marmitako Marmita or Sorropotún,Basque and Cantabria,stew,"a dish with tuna , potatoes , onions , pimientos , and tomatoes"
Olla podrida,,stew,a Spanish stew made from pork and beans and other meats and vegetables
Ollada,Catalonia,stew,boiling vegetables and meat in a casserole
Pipérade,Basque,a main or a side dish,"a Basque dish typically prepared with onion , green peppers , and tomatoes sautéd in olive oil and flavored with Espelette pepper"
Pisto Pisto manchego,Castilla-La Mancha,stew,"a dish made of tomatoes , onions , eggplant or courgettes , green and red peppers and olive oil . It is similar to ratatouille and is usually served warm to accompany a dish or with a fried egg and bread . It is also used as the filling for empanadillas and empanadas"
Salmorejo,Andalusia,cold soup,"A thick cold soup based on tomato , bread , olive oil and garlic , originating in Córdoba ( Andalusia ) . It is garnished with diced Spanish Serrano ham and diced hard-boiled eggs"
