Rank,Film,Year,Director,Studio ( s ),Worldwide gross
1,Baahubali 2 : The Conclusion,2017,S. S. Rajamouli,Arka Media Works,"₹ 1,810 crore ( US $ 250 million ) # +"
2,Baahubali : The Beginning,2015,S. S. Rajamouli,Arka Media Works,₹650 crore ( US $ 101.32 million ) # +
3,Saaho,2019,Sujeeth,UV Creations T-Series,₹433.06 crore ( US $ 61 million ) # +
4,Sye Raa Narasimha Reddy,2019,Surender Reddy,UV Creations,₹230 crore ( US $ 61 million ) # +
5,Bharat Ane Nenu,2018,Koratala Siva,DVV Entertainments,₹ 225 crore ( US $ 32 million )
6,Rangasthalam,2018,Sukumar,Mythri Movie Makers,₹ 210 crore ( US $ 29 million )
7,Sarileru Neekevvaru *,2020,Anil Ravipudi,"AK Entertainments , Sri Venkateswara Creations",₹ 200 crore ( US $ 28 million )
8,Ala Vaikunthapurramuloo *,2020,Trivikram Srinivas,"Geetha Arts , Haarika & Hassine Creations",₹ 200 crore ( US $ 28 million )
9,Maharshi,2019,Vamsi Paidipally,Sri Venkateswara Creations,₹ 200 crore ( US $ 28 million )
10,Attarintiki Daredi,2013,Trivikram Srinivas,Sri Venkateswara Cine Chitra,₹ 187 crore ( US $ 26 million )
