Name,Club,Appointed,Time in charge
Dragan Stojković,Guangzhou R & F,24 August 2015,"4 years , 168 days"
Uli Stielike,Tianjin Teda,9 September 2017,"2 years , 152 days"
Fabio Cannavaro,Guangzhou Evergrande Taobao,9 November 2017,"2 years , 91 days"
Li Tie,Wuhan Zall,16 November 2017,"2 years , 84 days"
Li Xiaopeng,Shandong Luneng Taishan,1 December 2017,"2 years , 69 days"
Vítor Pereira,Shanghai SIPG,12 December 2017,"2 years , 58 days"
Cosmin Olăroiu,Jiangsu Suning,28 March 2018,"1 year , 317 days"
Juan Ramón López Caro,Shenzhen FC,11 April 2018,"1 year , 303 days"
Chris Coleman,Hebei China Fortune,10 June 2018,"1 year , 243 days"
Jordi Cruyff,Chongqing Dangdai Lifan,8 August 2018,"1 year , 184 days"
Wang Baoshan,Henan Jianye,27 September 2018,"1 year , 134 days"
Quique Sanchez Flores,Shanghai Greenland Shenhua,25 December 2018,"1 year , 45 days"
Aleksandar Stanojević,Beijing Renhe,28 December 2018,"1 year , 42 days"
Rafael Benítez,Dalian Yifang,2 July 2019,221 days
Shen Xiangfu,Tianjin Tianhai,15 February 2019,358 days
Bruno Génésio,Beijing Sinobo Guoan,30 July 2019,193 days
