Station,Opened,Transfer,Grade
Aalto-yliopisto Aalto-universitetet / Aalto University,2017,-,Underground
Hakaniemi Hagnäs,1982,Tram : 3 6 6T 7 9,Underground
Herttoniemi Hertonäs,1982,-,At-grade
Itäkeskus Östra centrum,1982,-,At-grade
Helsingin yliopisto Helsingfors universitet / University of Helsinki,1995,Tram : 3 6 6T 9,Underground
Kalasatama Fiskehamnen,2007,-,Elevated
Kamppi Kampen,1983,Tram : 7 9,Underground
Keilaniemi Kägeludden,2017,-,Underground
Koivusaari Björkholmen,2017,-,Underground
Kontula Gårdsbacka,1986,-,At-grade
Kulosaari Brändö,1982,-,At-grade
Lauttasaari Drumsö,2017,-,Underground
Matinkylä Mattby,2017,-,Underground
Mellunmäki Mellungsbacka,1989,-,Elevated
Myllypuro Kvarnbäcken,1986,-,At-grade
Niittykumpu Ängskulla,2017,-,Underground
Puotila Botby gård,1998,-,Underground
Rautatientori Järnvägstorget / Central Railway Station,1982,Tram : 3 5 6 6T 7 9 Commuter rail,Underground
Rastila Rastböle,1998,-,At-grade
Ruoholahti Gräsviken,1993,Tram : 8,Underground
