Name,Principal,Mascot,Colors,Enrollment ( 2016-2017 )
Brogden,Dr. Sheldon Lanier,Dragon,"Green , White",542
Carrington,Holly Emmanuel,Cougar,"Orange , Black",931
School for Creative Studies ( formerly Chewning ),Renee Price,Gryphon,"Blue , Green , White",610
Githens,Crystal Isom-Adu,Raider,"Blue , Black , White",923
Lowe 's Grove,Mister Wiz,Viking,"Maroon , Gold",601
Lucas,Michael Somers,Leopard,"Maroon , Black",531
Neal,Michael Fuga,Eagle,"Green , Gold , White",759
Rogers-Herr,Kecia Rogers,Ram,"Blue , White",633
James E Shepard IB Middle,Micah Copeland,Panther,"Red , Black , White",452
Lakewood Montessori Middle School,Dr. Warnele Carmon,Lynx,"Green , White",295
