Software,Company,First Released,Latest Version,List Price ( USD ),License
Adobe Illustrator,Adobe Systems,1987,CC 2019 ( 23.0 ) / 15 October 2019,$ 19.99 / month ( 1 year contract ) or $ 29.99 / month,Proprietary
Affinity Designer,Serif Europe,2014,1.7.2 ( August 2019 ),$ 49.99,Proprietary
Apache OpenOffice Draw,Apache Software Foundation,2000,4.1.6 ( 2018-11-18 ),Free,"LGPL , Apache license for later versions"
ConceptDraw PRO,CS Odessa,1999,10.0 ( August 2014 ),$ 199,Proprietary
CorelDRAW,Corel,1989,2019 ( 21 ),"$ 499 , $ 199 upgrade ( includes Photopaint )",Proprietary
Dia,The GNOME Project,1998,0.97.3 ( 5 September 2014 ),Free,GPL
DrawPlus,Serif Europe,1994,X8 ( 23 March 2015 ),$ 119.99,Proprietary
Edraw Max,EdrawSoft,2004,8 ( 10 March 2016 ),"Free , $ 99 premium subscription",Proprietary
Embroidermodder,Embroidermodder Team,2004,1.70 ( 2012 ),Free,"GPL , zLib"
Krita,KDE,2005,4.2.0 ( 2019-01-25 ),Free,GPL
Inkscape,Inkscape Team,2003,0.92.4 ( 2019-01 ),Free,GPL
LibreOffice Draw,The Document Foundation,2010,"6.1.5 February 7 , 2019 ; 11 months ago ( 2019-02-07 )",Free,"MPL , LGPL"
Macromedia FreeHand,Adobe Systems,1988,MX ( 11 ),"$ 399 , $ 99 upgrade",Proprietary
Microsoft Visio,Microsoft,1992,12.0,"$ 560 , $ 350 upgrade ( Pro ) , $ 260 , $ 130 upgrade ( Standard )",Proprietary
OmniGraffle,The Omni Group,c. 2000,"7.8.2 ( 2018-09-05 ) for OS X , 3.7 for iOS ( 2019-09-17 )","Standard : $ 99 , Pro : $ 199 , iPad $ 49 ( Pro : $ 99 ) USD",Proprietary
Pencil2D,"Pascal Naidon , Patrick Corrieri",2005,0.6.3 ( 2019-03-17 ),Free,GPL
PhotoLine,Computerinsel GmbH,1995,21.01 ( 2018-08 ),"€59 , €29 upgrade",Proprietary
sK1,sK1 Project Team,2009,2.0RC4 ( 2019-05-27 ),Free,GPL
Sketch,Bohemian Coding,2010,39.1,$ 99,Proprietary
SketchUp,Trimble ( previously owned by Google ; originally by Last Software ),2013,18.0 ( 2017-11 ),"SketchUp Make 2018 : Free for non-commercial use only , Pro : $ 495",Proprietary
