Year,Title,Role,Notes
1981,Saturday Night Live,Weekend Update Reporter,Episode : Jr. Walker & the All-Stars
1985,The Execution of Raymond Graham,Kathy Bates,Television film
1986,The Equalizer,Theresa,Episode : No Conscience
"1988-97 , 2018",Roseanne,Jackie Harris,228 episodes
1988,Saturday Night Live,Laurie Has A Story,Episode : Matthew Broderick/The Sugarcubes
1992,The Jackie Thomas Show,Jackie Harris,Episode : The Joke
1995-96,Duckman,Various,Voice role Episodes : Research and Destroy and Forbidden Fruit
1997,King of the Hill,Cissy Cobb,Voice role Episode : Peggy the Boggle Champ
1997,The Eddie Files,Special Agent Hicks,Episode : Decimals - The Fake Money Caper
1997,Life with Louie,Miss Kinney,Voice role Episode : The Kiss Is the Thing
1997,Dharma & Greg,Spyder,Episode : Instant Dharma
1998,Always Outnumbered,Halley Grimes,Television film
1998,The Long Island Incident,Carolyn McCarthy,Television film
1998,3rd Rock from the Sun,Jennifer Ravelli,3 episodes
1999,Balloon Farm,Casey Johnson,Television film
1999-2001,The Norm Show,Laurie Freeman,54 episodes
2000-11,"God , the Devil and Bob",Donna Allman,Voice role 13 episodes
2002,Two Families,,Unsold pilot
2003,Phil at the Gate,Teddy Duffy,Unsold pilot
2003,Charlie Lawrence,Sarah Dolecek,7 episodes
