Bridge,Carries,Remarks
Louise Bridge,10 Street SW,"Connects Downtown West End with Memorial Drive and Kensington ; named after Louise Cushing , daughter of William Henry Cushing , Calgary mayor from 1900 to 1901"
Sunnyside C-Train Bridge,C-Train Route 201 and pedestrian ( lower deck ),Between Sunnyside and 8 Street SW stations ; lower deck is a pedestrian walkway
Peace Bridge,Pedestrian and bicycle,between Downtown and Sunnyside
Prince 's Island Causeway,Pedestrian and service road,"Connects Eau Claire Park pathway with west part of Prince 's Island Park , provides access to Enmax stage"
Prince 's Island Bridge,Pedestrian,"Connects Prince 's Island Park with Sunnyside , also crosses Memorial Drive"
Jaipur Bridge,Pedestrian,Connects Prince 's Island Park with Eau Claire
Prince 's Island Bridge East End,Pedestrian pathway,Connects eastern Prince 's Island Park with Eau Claire and Chinatown
Centre Street Bridge,Centre Street,Connects Downtown Calgary to Crescent Heights ; lower deck connects Chinatown to Memorial Drive
4th Avenue Flyover,4th Avenue SE,Connects Memorial Drive to Downtown Calgary
5th Avenue Flyover,5th Avenue SE,"Connects Downtown Calgary to Memorial Drive , Crescent Heights and Bridgeland"
Reconciliation Bridge,Edmonton Trail,"Connects Bridgeland to Downtown Calgary ; south terminus of Edmonton Trail . Formerly called the Langevin Bridge ( 1910-2017 ) , named for Sir Hector Langevin"
C-Train SE/Bridgeland Bridge,C-Train Route 202,Between 3 Street SE and Bridgeland/Memorial stations
George C. King Bridge ( formerly St. Patrick 's Island Bridge ),Bow River pathways,"Connects Downtown East Village , Fort Calgary and Bow River pathways with St Patrick Island and Calgary Zoo ; new project to cross to Bridgeland"
Baines Bridge,Zoo Road,Connects Calgary Zoo and Bridgeland
Zoo Bridge ( W ),Calgary Zoo pathway,Connects main Calgary Zoo exhibits with the Prehistoric Park
Zoo Bridge ( E ),Calgary Zoo pathway,Connects main Calgary Zoo exhibits with the Canadian Wilds
St. Georges Zoo Bridge,12 Street SE,Connects Calgary Zoo with Inglewood
Canadian Pacific Bridge ( Nose Creek ),Canadian Pacific Railway,Railroad bridge
