Medal,Championship,Name,Event
Gold,2003 Stuttgart,Yoanka González,Women 's points race
Gold,2004 Melbourne,Yoanka González,Women 's scratch
Bronze,2006 Bordeaux,Lisandra Guerra,Women 's 500 m time trial
Gold,2007 Palma de Mallorca,Yumari González,Women 's scratch
Silver,2007 Palma de Mallorca,Lisandra Guerra,Women 's 500 m time trial
Silver,2008 Manchester,Yumari González,Women 's scratch
Bronze,2008 Manchester,Lisandra Guerra,Women 's 500 m time trial
Gold,2009 Pruszków,Yumari González,Women 's scratch
Silver,2009 Pruszków,Yumari González,Women 's points race
Silver,2010 Ballerup,Yumari González,Women 's scratch
Bronze,2013 Minsk,Lisandra Guerra,Women 's keirin
