Date,Sport,Venue/Event,Status,Winner/s
2-12,Amateur boxing,2015 Junior World Boxing Championships,International,Russia
3,Athletics,Weltklasse Zürich,International,Kenya
3-12,Weightlifting,2015 Asian Weightlifting Championships,Continental,China
3-12 December,American football,2015 NCAA Division I FBS football season,Domestic,The American : Houston Cougars ACC : Clemson Tigers Big 12 : Oklahoma Sooners Big Ten : Michigan State Spartans C-USA : WKU Hilltoppers MAC : Bowling Green Falcons MW : San Diego State Aztecs Pac-12 : Stanford Cardinal SEC : Alabama Crimson Tide Sun Belt : Arkansas State Red Wolves
4-12,Water polo,2015 FINA Junior Water Polo World Championships for Men,International,Serbia
4-19,Multi-sport,2015 All-Africa Games,Continental,Egypt
5-6,Air racing,Red Bull Air Race World Championship - Spielberg,International,Master Class : Matt Hall ( Aircraft : MXS-R from MX Aircraft ) Challenger Class : Mikael Brageot ( Aircraft : Extra 330LX from Extra Flugzeugbau )
5-6,Triathlon,2015 World Triathlon Series # 9,International,Men : Richard Murray Women : Vicky Holland
5-11,Multi-sport,2015 Commonwealth Youth Games,International,Australia
5-20,Basketball,/ / / Eurobasket 2015,Continental,Spain
6,Formula One,2015 Italian Grand Prix,International,Lewis Hamilton ( Mercedes )
7-12,Wrestling,2015 World Wrestling Championships,International,Men 's freestyle : Russia ( medals and points ) Greco-Roman : Turkey ( medals ) ; Russia ( points ) Women 's freestyle : Japan ( medals and points ) Overall : Russia
7-13,Rhythmic gymnastics,2015 World Rhythmic Gymnastics Championships,International,Russia
8-23,Volleyball,2015 FIVB Volleyball Men 's World Cup,International,United States
10-13,Golf,2015 Evian Championship,International,Lydia Ko
10-3 January 2016,American football,2015 NFL season,Domestic,AFC : Denver Broncos NFC : Carolina Panthers
11,Athletics,Memorial Van Damme,International,United States
11-19,Volleyball,2015 FIVB Volleyball Women 's U20 World Championship,International,Dominican Republic
11-20,Volleyball,2015 FIVB Volleyball Men 's U21 World Championship,International,Russia
12-13,Golf,2015 Walker Cup,International,Great Britain / Ireland Team
