Club,Municipality,Province,Finishing position 2014-15 season
F.C . Jeunesse Lorraine Arlonaise,Arlon,Luxembourg,8th
R. Aywaille F.C,Aywaille,Liège,7th
R.E . Bertrigeoise,Bertrix,Luxembourg,11th
R.D.C . de Cointe-Liège,Liège,Liège,1st in Liège Division One
R.E.S . Couvin-Mariembourg,Couvin,Namur,9th
U.S. Givry,Bertogne,Luxembourg,6th
R.U.S . Loyers,Namur,Namur,1st in Namur Division One
Patro Lensois,Hannut,Liège,4th in Liège Division One
R.R.C . Longlier,Neufchâteau,Luxembourg,1st in Luxembourg Division One
R.F.C . de Meux,La Bruyère,Namur,5th
UR Namur,Namur,Namur,10th
FC Richelle United,Visé,Liège,2nd in Liège Division One
Solières Sport,Huy,Liège,3rd
R.J.S . Taminoise,Sambreville,Namur,12th
R.C.S . de Verlaine,Verlaine,Liège,3rd in Liège Division One
Royal Stade Waremmien F.C,Waremme,Liège,2nd
