Mountain,Height ( m ),Drop ( m ),Range,District ( s )
Diablerets,3210,968,Alps,Aigle
Oldenhorn,3123,295,Alps,Aigle
Grand Muveran,3051,1013,Alps,Aigle
Dent de Morcles,2969,465,Alps,Aigle
Dent Favre,2917,315,Alps,Aigle
Tête à Pierre Grept,2904,165,Alps,Aigle
Petit Muveran,2810,265,Alps,Aigle
Le Tarent,2548,1002,Alps,Aigle / Riviera-Pays-d'Enhaut
Gummfluh,2458,574,Alps,Riviera-Pays-d'Enhaut
L'Argentine ( Haute Pointe ),2422,393,Alps,Aigle
Vanil Noir,2389,1110,Alps,Riviera-Pays-d'Enhaut
Cape au Moine,2352,199,Alps,Aigle / Riviera-Pays-d'Enhaut
Wittenberghorn,2350,465,Alps,Riviera-Pays-d'Enhaut
Tour d'Aï,2331,886,Alps,Aigle
Tour de Mayen,2326,186,Alps,Aigle
Pointe des Savolaires,2294,183,Alps,Aigle
Le Rubli,2285,251,Alps,Riviera-Pays-d'Enhaut
Dent de Savigny,2252,848,Alps,Riviera-Pays-d'Enhaut
Dent de Ruth,2236,186,Alps,Riviera-Pays-d'Enhaut
Gros Van,2189,528,Alps,Aigle
