Season,Winner,Runner-up,Top Goalscorer,Team,Goals
1902 LPF,São Paulo A.C. ( 1 ),Paulistano,Charles Miller,São Paulo A.C,10
1903 LPF,São Paulo A.C. ( 2 ),Paulistano,Álvaro and Boyes,Paulistano and São Paulo A.C,4
1904 LPF,São Paulo A.C. ( 3 ),Paulistano,Charles Miller,São Paulo A.C,9
1905 LPF,Paulistano ( 1 ),Germânia,Hermann Friese,Germânia,14
1906 LPF,Germânia ( 1 ),Internacional ( SP ),Fuller,Germânia,4
1907 LPF,Internacional ( SP ) ( 1 ),Americano and Paulistano,Léo,Internacional ( SP ),8
1908 LPF,Paulistano ( 2 ),Germânia,Peres,Paulistano,6
1909 LPF,A.A. das Palmeiras ( 1 ),Paulistano,Bibi,Paulistano,9
1910 LPF,A.A. das Palmeiras ( 2 ),Americano,"Boyes , Eurico , Rubens Sales","São Paulo A.C. , A.A. das Palmeiras , Paulistano",10
1911 LPF,São Paulo A.C. ( 4 ),Americano,Décio,Americano,7
1912 LPF,Americano ( 1 ),Paulistano,Arthur Friedenreich,Mackenzie,
1913 APEA,Paulistano ( 3 ),Mackenzie,"José Pedro , Luiz Alves , Renato , Whatley , Luiz , Mesquita","first 4 from Mackenzie , A.A. das Palmeiras , Paulistano",3
1913 LPF,Americano ( 2 ),Ypiranga,Décio,Americano,7
1914 APEA,São Bento ( 1 ),Paulistano,Arthur Friedenreich,Paulistano,12
1914 LPF,Corinthians ( 1 ),Campos Elísios,Neco,Corinthians,12
1915 APEA,A.A. das Palmeiras ( 3 ),Mackenzie,Nazaré,A.A. das Palmeiras,13
1915 LPF,Corinthians ( 2 ),São Paulo A.C,Facchini,A.A. Campos Elíseos,17
1916 LPF,Germânia ( 2 ),A.A. Campos Elíseos,Aparicio,Corinthians,7
1916 APEA,Paulistano ( 4 ),São Bento,Mariano,Paulistano,8
1917 APEA,Paulistano ( 5 ),Palestra Italia,Arthur Friedenreich,Ypiranga,15
