Plant,State,Scheme,MW
Sultan Azlan Shah Bersia,Perak,Sungai Perak,72
Chenderoh Power Station,Perak,Sungai Perak,40.5
Sultan Azlan Shah Kenering Power Station,Perak,Sungai Perak,120
Sungai Piah Upper Power Station,Perak,Sungai Perak,14.6
Sungai Piah Lower Power Station,Perak,Sungai Perak,54
Temenggor Power Station,Perak,Sungai Perak,348
Sultan Mahmud,Terengganu,Sungai Terengganu,400
Pergau Dam,Kelantan,Sungai Pergau,600
Sultan Yusof Jor Power Station,Pahang,Cameron Highlands,100
Ulu Jelai Power Station ( completed 2016 ),Pahang,Cameron Highlands,372
Sultan Idris II,Pahang,Cameron Highlands,150
Odak Power Station,Pahang,Cameron Highlands,4.2
Habu Power Station,Pahang,Cameron Highlands,5.5
Kampong Raja Power Station,Pahang,Cameron Highlands,0.8
Kampong Terla Power Station,Pahang,Cameron Highlands,0.5
Robinson Falls Power Station,Pahang,Cameron Highlands,0.9
Bakun Dam,Sarawak,,2400
Batang Ai Dam,Sarawak,,100
Murum Dam,Sarawak,,944
Tenom Pangi Dam,Sabah,,66
