Pos,No,Driver,Constructor,Time,Gap
1,8,Fernando Alonso,Renault,1:13.698,-
2,1,Michael Schumacher,Ferrari,1:13.971,+0.273
3,5,David Coulthard,McLaren - Mercedes,1:13.987,+0.289
4,9,Jenson Button,BAR - Honda,1:13.995,+0.297
5,7,Jarno Trulli,Renault,1:14.070,+0.372
6,3,Juan Pablo Montoya,Williams - BMW,1:14.172,+0.474
7,10,Takuma Sato,BAR - Honda,1:14.240,+0.542
8,4,Marc Gené,Williams - BMW,1:14.275,+0.577
9,6,Kimi Räikkönen,McLaren - Mercedes,1:14.346,+0.648
10,2,Rubens Barrichello,Ferrari,1:14.478,+0.780
11,16,Cristiano da Matta,Toyota,1:14.553,+0.855
12,14,Mark Webber,Jaguar - Cosworth,1:14.798,+1.100
13,15,Christian Klien,Jaguar - Cosworth,1:15.065,+1.367
14,17,Olivier Panis,Toyota,1:15.130,+1.432
15,11,Giancarlo Fisichella,Sauber - Petronas,1:16.177,+2.479
16,12,Felipe Massa,Sauber - Petronas,1:16.200,+2.502
17,18,Nick Heidfeld,Jordan - Ford,1:16.807,+3.109
18,19,Giorgio Pantano,Jordan - Ford,1:17.462,+3.764
19,20,Gianmaria Bruni,Minardi - Cosworth,1:17.913,+4.215
20,21,Zsolt Baumgartner,Minardi - Cosworth,1:18.247,+4.549
