Year,Film,Role
1993,Gallowglass,Joseph
1995,Othello,Lodovico
1996,Mary Reilly,Bradshaw
1997,Wilde,Robbie Ross
2002,Heartlands,Colin
2002,The Four Feathers,William Trench
2003,Bright Young Things ( film ),Miles
2003,Underworld,Lucian
2003,Timeline,Lord Oliver de Vannes
2004,Laws of Attraction,Thorne Jamison
2004,The Banker,The Banker
2005,Kingdom of Heaven,Priest
2005,The Open Doors,Framton Nuttel
2005,The League of Gentlemen 's Apocalypse,Jeremy Dyson
2006,Dead Long Enough,Harry Jones
2006,The Queen,Tony Blair
2006,Blood Diamond,Rupert Simmons
2007,Music Within,Art Honeyman
2007,Airlock Or How To Say Goodbye In Space,Adam Banton
2008,Frost/Nixon,David Frost
