Year,Player,Team ( s ),Runs
1876,Ross Barnes,Chicago White Stockings,126
1877,Jim O'Rourke,Boston Red Caps,68
1878,Dick Higham,Providence Grays,60
1879,Charley Jones,Boston Red Caps,85
1880,Abner Dalrymple,Chicago White Stockings,91
1881,George Gore,Chicago White Stockings,86
1882,George Gore,Chicago White Stockings,99
1883,Joe Hornung,Boston Beaneaters,107
1884,King Kelly,Chicago White Stockings,120
1885,King Kelly,Chicago White Stockings,124
1886,King Kelly,Chicago White Stockings,155
1887,Dan Brouthers,Detroit Wolverines,153
1888,Dan Brouthers,Detroit Wolverines,118
1889,Mike Tiernan,New York Giants,147
1890,Hub Collins,Brooklyn Bridegrooms,148
1891,Billy Hamilton,Philadelphia Phillies,141
1892,Cupid Childs,Cleveland Spiders,136
1893,Herman Long,Boston Beaneaters,149
1894,Billy Hamilton,Philadelphia Phillies,198
1895,Billy Hamilton,Philadelphia Phillies,166
