Season,Races,Drivers ' champion,Manufacturers ' champion
1995,20,Mike Skinner,Chevrolet
1996,24,Ron Hornaday Jr,Chevrolet
1997,26,Jack Sprague,Chevrolet
1998,27,Ron Hornaday Jr,Chevrolet
1999,25,Jack Sprague,Ford
2000,24,Greg Biffle,Ford
2001,24,Jack Sprague,Dodge
2002,22,Mike Bliss,Chevrolet
2003,25,Travis Kvapil,Dodge
2004,25,Bobby Hamilton,Dodge
2005,25,Ted Musgrave,Chevrolet
2006,25,Todd Bodine,Toyota
2007,25,Ron Hornaday Jr,Toyota
2008,25,Johnny Benson Jr,Toyota
2009,25,Ron Hornaday Jr,Toyota
2010,25,Todd Bodine,Toyota
2011,25,Austin Dillon,Chevrolet
2012,22,James Buescher,Chevrolet
2013,22,Matt Crafton,Toyota
2014,22,Matt Crafton,Toyota
