Name,Sport,Silver,Total
Alex Liew,Bowling,1,3
Nicol David,Squash,,2
Adrian Ang,Bowling,1,2
Mohd Azlan Iskandar,Squash,1,2
Low Wee Wern,Squash,,2
Bryan Nickson Lomas,Diving,2,3
Farhan Adam,Sepaktakraw,2,2
Leong Mun Yee,Diving,2,2
Mohd Normanizam Ahmad,Sepaktakraw,2,2
Muhd Futra Abdul Ghani,Sepaktakraw,2,2
Noor Azman Abdul Hamid,Sepaktakraw,2,2
Norshahruddin Mad Ghani,Sepaktakraw,2,2
Yeoh Ken Nee,Diving,1,3
Nur Quzandria Mahamad Fathil,Equestrian,1,2
Ong Beng Hee,Squash,1,2
Pandelela Rinong,Diving,1,2
Qabil Ambak Mahamad Fathil,Equestrian,,2
