English short name,English long name,Domestic short name,Domestic long name,Capital
Afghanistan,Islamic Republic of Afghanistan,Pashto : د افغانستان اسلامي جمهوریت Da Afġānistān Islāmī Jomhoriyat,Persian : جمهوری اسلامی افغانستان Jomhūrī-ye Eslāmī-ye Afġānistān,Kabul
Albania,Republic of Albania,Albanian : Shqipëria,Albanian : Republika e Shqipërisë,Tirana Albanian : Tiranë
Andorra,Principality of Andorra,Andorra,Catalan : Principat d'Andorra French : Principauté d'Andorre Spanish : Principado de Andorra,Andorra la Vella Catalan : Andorra la Vella French : Andorre-la-Vieille Spanish : Andorra la Vieja
Armenia,Republic of Armenia,Armenian : Հայաստան/ Հայք Armenian Transliteration : Hayastan/ Hayq,Armenian : Հայաստանի Հանրապետություն Hayastani Hanrapetutyun,Yerevan Armenian : Երևան or Երեւան
Austria,Republic of Austria,German : Österreich,German : Republik Österreich,Vienna German : Wien
Azerbaijan,Republic of Azerbaijan,Azerbaijani : Azərbaycan,Azerbaijani : Azərbaycan Respublikası,Baku Azerbaijani : Bakı
Bahrain,Kingdom of Bahrain,,Arabic : مملكة البحرين Mamlakat al-Baḥrayn,Manama
Bangladesh,People 's Republic of Bangladesh,,Bangla : গণপ্রজাতন্ত্রী বাংলাদেশ,Dhaka
Belarus,Republic of Belarus,Belarusian and Russian : Беларусь Belarusian and Russian Transliteration : Byelarus,Belarusian : Рэспубліка Беларусь Russian : Республика Беларусь Belarusian and Russian Transliteration : Respublika Byelarus,Minsk Belarusian : Мінск Russian : Минск
Belgium,Kingdom of Belgium,Dutch : België French : Belgique German : Belgien,Dutch : Koninkrijk België French : Royaume de Belgique German : Königreich Belgien,Brussels Dutch : Brussel French : Bruxelles German : Brüssel
Bhutan,Republic of Bhutan,Dzongkha : Brug rGyal-Khab,,Thimphu
Bosnia and Herzegovina,Bosnia and Herzegovina,"Bosnian , Serbian Latin , Croatian : BiH , Bosna Serbian Cyrillic : БиХ , Босна","Bosnian , Serbian Latin , Croatian : Bosna i Hercegovina Serbian Cyrillic : Босна и Херцеговина","Sarajevo Bosnian , Serbian Latin , Croatian : Sarajevo Serbian Cyrillic : Сарајево"
Brunei,"State of Brunei , Abode of Peace",,Malay : بروني دارالسلام Negara Brunei Darussalam,Bandar Seri Begawan
Bulgaria,Republic of Bulgaria,Bulgarian : България,Bulgarian : Република България Bulgarian Transliteration : Republika Balgariya,Sofia Bulgarian : София Bulgarian Transliteration : Sofiya
Cambodia,Kingdom of Cambodia,,Khmer : Preăh Réachéa Nachâk Kâmpŭchéa,Phnom Penh
China,People 's Republic of China,Simplified Chinese : 中国 Traditional Chinese : 中國 Zhōngguó,Simplified Chinese : 中华人民共和国 Traditional Chinese : 中華人民共和國 Zhōnghuá Rénmín Gònghéguó,Beijing Chinese : 北京
Croatia,Republic of Croatia,Croatian : Hrvatska,Croatian : Republika Hrvatska,Zagreb
Cyprus,Republic of Cyprus,Greek : Κύπρος Greek Transliteration : Kýpros Turkish : Kıbrıs,Greek : Κυπριακή Δημοκρατία Kypriakí Dimokratía Turkish : Kıbrıs Cumhuriyeti,Nicosia Greek : Λευκωσία Turkish : Lefkoşa
Czech Republic,Czech Republic,Czech : Česko,Czech : Česká republika,Prague Czech : Praha
Denmark,Kingdom of Denmark,Danish : Danmark,Danish : Kongeriget Danmark,Copenhagen Danish : København
