Name,Club,Appointed,Time in charge
David Robertson,Real Kashmir,2 January 2017,"3 years , 36 days"
Akbar Nawas,Chennai City,19 March 2018,"1 year , 325 days"
Stanley Rozario,Aizawl,9 January 2019,"1 year , 29 days"
Kibu Vicuña,Mohun Bagan,10 May 2019,273 days
Fernando Valera,Gokulam Kerala FC,1 June 2019,251 days
Gift Raikhan,NEROCA,1 June 2019,251 days
Chun Yan Law,Punjab F.C,19 July 2019,203 days
Bernardo Tavares,Churchill Brothers,28 November 2019,71 days
Shanmugam Venkatesh,Indian Arrows,29 November 2019,70 days
,TRAU,,0 days
Mario Rivera,East Bengal FC,23 January 2020,15 days
