Year,Horse,Age,Trainer,Owner
1970,Shuvee,4,Willard C. Freeman,Anne Minor Stone
1969,Gallant Bloom ( DRF ),3,William J. Hirsch,"Robert J. Kelberg , Jr"
1969,Gamely ( TRA ),5,James W. Maloney,William Haggin Perry
1968,Gamely,4,James W. Maloney,William Haggin Perry
1967,Straight Deal II,5,Hirsch Jacobs,Ethel D. Jacobs
1966,Open Fire ( DRF ),5,Virgil W. Raines,Brandywine Stable
1966,Summer Scandal ( TRA ),4,Woods Garth,Harborvale Stable
1965,Old Hat,6,Charles C. Norman,Stanley Conrad
1964,Tosmah ( DRF ),3,Joseph W. Mergler,Briardale Farm
1964,Old Hat ( TRA ),5,Charles C. Norman,Stanley Conrad
1963,Cicada,4,Casey Hayes,Christopher Chenery
1962,Primonetta,4,James P. Conway,Darby Dan Farm
1961,Airmans Guide,4,Burton Williams,"Hugh A . Grant , Sr"
1960,Royal Native,4,Peter F. Gacicia,William B. MacDonald
1959,Tempted,4,Henry S. Clark,Mooring Stable
1958,Bornastar,5,W. Graves Sparks,J. Graham Brown
1957,Pucker Up,4,James P. Conway,Ada L. Rice
1956,Blue Sparkler,4,Harry M. Wells,Amory L. Haskell
1955,Misty Morn ( DRF ),3,James E. Fitzsimmons,Wheatley Stable
1955,Parlo ( TRA ),4,Richard E. Handlen,"William du Pont , Jr"
