US,CAN,Album,Artist,Record Label
27,7,4 Runner,4 Runner,Polydor Nashville
1,1,All I Want,Tim McGraw,Curb
25,21,All of This Love,Pam Tillis,Arista Nashville
13,5,Come Together : America Salutes The Beatles,Various Artists,Liberty
,3,Country Heat 5,Various Artists,RCA
8,4,Dwight Live,Dwight Yoakam,Reprise
,6,Endless Seasons,The Rankin Family,EMI
1,1,Fresh Horses,Garth Brooks,Liberty
2,6,Games Rednecks Play,Jeff Foxworthy,Warner Bros
5,5,Gone,Dwight Yoakam,Reprise
17,,Greatest Hits,Little Texas,Warner Bros
5,6,Greatest Hits,Lorrie Morgan,BNA
5,7,Greatest Hits 1990-1995,Sawyer Brown,Curb
3,17,Greatest Hits : From the Beginning,Travis Tritt,Warner Bros
1,1,The Greatest Hits Collection,Alan Jackson,Arista Nashville
,22,Gypsies & Lovers,The Irish Descendants,Warner
12,,Have Yourself a Tractors Christmas,The Tractors,Arista Nashville
19,,The Hits Chapter 1,Sammy Kershaw,Mercury/PolyGram
14,,Hog Wild,"Hank Williams , Jr",Curb/Warner Bros
10,,Hypnotize the Moon,Clay Walker,Giant
