Name,Origin,Description
Carpaccio,Italy,"Very thin slices of marinated swordfish , tuna , or other large fish ( a variant of the more common beef carpaccio )"
Ceviche,Peru,Marinated raw fish dish
Crudo,Italy,"Raw fish dressed with olive oil , sea salt , and citrus"
E'ia Ota,Tahiti,Raw tuna in lime and coconut milk
Esqueixada,Catalan,"Salad based on raw cod , tomato and black olives"
Gravlax,Nordic,"Raw salmon , lightly cured in salt , sugar , and dill . Usually served as an appetizer , sliced thinly and accompanied by a dill and mustard sauce with bread or boiled potatoes . Made by fishermen in the Middle Ages , who salted salmon and lightly fermented it by burying it in the sand above the high-tide line . Today it is no longer fermented . Instead the salmon is buried in a dry marinade of salt , sugar , and dill , and cured for a few days . As the salmon cures , by the action of osmosis , the moisture turns the dry cure into a highly concentrated brine , which can be used as part of a sauce"
Gohu Ikan,"Maluku , Indonesia","Gohu Ikan could be made with tuna , skipjack , or grouper . The fish is cut into small pieces . To remove the fishy smell , the fish meat is washed repeatedly until there 's no more blood left . After cleaning thoroughly , the fish meat is marinated with salt and citrus juice . The red fish meat will become a bit white . It is then mixed and stirred with sliced onion , rica ( a spicy chili ) , and basil leaves.It has a sour flavor , spicy , with a strong aroma of basil . Roasted and coarsely grounded canary seeds can be used as a flavor enhancer"
Hinava,Malaysia,"A traditional Kadazan-Dusun dish from Sabah . Raw fish ( typically firm fleshed white fish ) marinated with citrus juice ( usually calamansi lime ) , sliced shallots , julienned ginger and grated dried seed of the bambangan fruit , a species of wild mango found in Borneo . Optional additions include sliced chilli and bitter gourd"
Hoe,Korea,Raw seafood slices typically served with either soy-sauce or hot pepper paste based dipping sauce
Kelaguen,Mariana Islands,
Kilawin,Philippines,"Marinated raw fish similar to ceviche . It is generally marinated in a local vinegar ( e.g . coconut , cane , or palm vinegar ) and/or local citrus such as kalamansi or sometimes lime . Some regions add a little coconut milk to the marinade"
Koi pla,Thailand,Minced or finely chopped raw fish in spicy salad . The most popular raw fish dish in Isan
Kokoda,Fiji,Appetiser or side dish of any white fish . A common staple
Kuai,China,"Finely cut strips of raw fish or meat , which was popular and commonly eaten in the early history and dynastic times of China . According to the Book of Rites compiled between 202 BCE-220 CE , kuai consists of small thin slices or strips of raw meat , which are prepared by first thinly slicing the meat and then cutting the thin slices into strips . In modern times , the dishes are more often referred to as raw fish slices . Commonly used fish in ancient times include carp and mandarin fish , but salmon is also used in modern times . Sauces were an essential part of kuai dishes , with green onions used for preparation of sauces in spring and mustard seed used for sauces in autumn . According to many classical texts , kuai served without sauces was deemed inedible and should be avoided"
Lakerda,Turkey,Pickled bonito dish eaten as a mezze in the cuisines of the former Ottoman Empire . Lakerda made from one-year-old bonito migrating through the Bosphorus is especially prized
Lap pa Larb pla,Laos Thailand,"A Lao and Thai salad of raw freshwater river fish mixed with lime , cilantro , mint , scallions , roasted rice , chilis"
Namerō,"Japan , Bōsō Peninsula",Finely chopped raw fish mixed with spices and spread thin
'Ota 'ika,Tonga,"Raw fish dish typically made with coconut cream , tomatoes , lemon and spring onions"
Poke,Hawaii,Raw fish salad
Sashimi,Japan,Sliced raw seafood . Dipped in soy sauce and wasabi before eating
