Senator,Party,District
Modesto Agosto Alicea,PDP,District Num . V ( District 21-25 ) Ponce
Lucy Arce,NPP,Senator At-Large
Roberto Arango,NPP,District Num . I ( District 1-5 ) San Juan
Eudaldo Baez Galib,PDP,Senator At-Large
Norma Burgos,NPP,Senator At-Large
Jose Luis Dalmau,PDP,District Num . VII ( District 31-35 ) Humacao
Jorge de Castro Font,NPP,Senator At-Large
Carlos Díaz,NPP,District Num . I ( District 1-5 ) San Juan
Antonio Fas Alzamora,PDP,Senator At-Large
Jose Garriga Pico,NPP,Senator At-Large
Sila Mari González Calderón,PDP,Senator At-Large
Jose Emilio Gonzalez Velazquez,NPP,District Num . III ( District 11-15 ) Arecibo
Juan Hernandez Mayoral,PDP,Senator At-Large
Sixto Hernandez Serrano ( resigned in 2006 upon confirmation as appeals judge ),PDP,District Num . VII ( District 31-35 ) Humacao
Víctor David Loubriel ( resigned during 2nd day in office ),NPP,District Num . II ( District 11-15 ) Arecibo
Hector Martinez,NPP,District Num . VII ( District 36-40 ) Carolina
Kenneth McClintock,NPP,Senator At-Large
Luis Daniel Muñiz,NPP,District Num . IV ( District 16-20 ) Mayaguez
Margarita Nolasco,NPP,District Num . VI ( District 26-30 ) Guayama
Carlos Pagan,NPP,District Num . IV ( District 16-20 ) Mayaguez
