Call letters,Channel,Network ( s ),City and state,Meaning or notes
KLAS-TV,7 PSIP/cable 8,8.1 CBS 7.2 MeTV,"Las Vegas , Nevada",Las Vegas
KLAX-TV,31 PSIP 31,31.1 ABC 31.2 MeTV,"Alexandria , Louisiana",L ouisiana A le X andria
KLBK-TV,31 PSIP 13,CBS,"Lubbock , Texas",L ub B oc K
KLBY,17 PSIP 4,4.1 ABC 17.2 MeTV,"Colby , Kansas",KLBY is phonetic abbreviation for Colby ; simulcasts KAKE Wichita
KLCS,41 PSIP 58,PBS,"Los Angeles , California",L os Angeles C ity S chools
KLCW-TV,23 PSIP 22,22.1 The CW 46.3 KXTQ-CD,"Wolfforth , Texas",L ubbock 's CW
KLDO-TV,19 PSIP 27,27.1 Univision 19.2 LATV,"Laredo , Texas",L are DO
KLEI,21 PSIP 21,World Harvest Television,"Wailuku , Hawaii",
KLEW-TV,32 PSIP/cable 3,CBS,"Lewiston , Idaho","K LEW iston ; semi-satellite of KIMA Yakima , Washington"
KLFY-TV,10 PSIP 10,CBS,"Lafayette , Louisiana",L a F a Y ette
KLJB,49 PSIP 18,18.1 Fox 49.3 MeTV,"Davenport , Iowa",
KLKN,8 PSIP 8,8.1 ABC,"Lincoln , Nebraska",LKN is phonetic abbreviation for Lincoln
KLNE-TV,26 PSIP 3,PBS,"Lexington , Nebraska",L exington NE braska
KLPA-TV,33 PSIP 25,PBS,"Alexandria , Louisiana",L ouisiana P ublic Broadcasting A lexandria
KLPB-TV,23 PSIP 24,PBS,"Lafayette , Louisiana",L ouisiana P ublic B roadcasting
KLRN,9 PSIP 9,PBS,"San Antonio , Texas",L ea rn
KLRT-TV,30 PSIP 16,Fox,"Little Rock , Arkansas",L ittle R ock T elevision
KLRU,22 PSIP 18,PBS,"Austin , Texas",
KLSR-TV,31 PSIP 34,34.1 Fox 23.2 KEVU-CD,"Eugene , Oregon",
KLST,11 PSIP 8,CBS,"San Angelo , Texas",L one ST ar
