Plant,Location,River,Power ( MW ),Notes
Ada Dam Hydro Power Plant,Ada,Thornapple River,30,
Alcona Dam,Alcona County,Au Sable River ( Michigan ),8,Consumers Energy
Allegan Dam Hydro Power Plant,Allegan,Kalamazoo River,3,Consumers Energy
Belleville Dam,Belleville,Huron River ( Michigan ),2,French Landing
Berrien Springs Hydro Power Plant,Berrien Springs,St. Joseph River ( Lake Michigan ),7,American Electric Power
Big Quinnesec Dam,Iron Mountain,Menominee River,22,Wisconsin Energy Corporation
Boardman Hydro Power Plant,,Boardman River,1,
Buchanan Hydro Power Plant,Buchanan,St. Joseph River,4,
Cascade Dam Hydro Power Plant,Caledonia,Thornapple River,2,
Cataract Hydro Power Plant,,Escanaba River,2,
Chalk Hill Dam,Stephenson,Menominee River,7,Wisconsin Energy Corporation
Cheboygan Hydro Power Plant,,Cheboygan River,1,
Constantine Hydro Power Plant,Constantine,St Joseph River,1,
Cooke Dam,Oscoda,Au Sable River,9,Consumers Energy
Croton Dam,Newaygo County,Muskegon River,9,Consumers Energy
Crystal Falls Dam and Power Plant,Crystal Falls,Paint River,1,
Edenville Hydro Power Plant,,Tittabawassee River,5,Hydro Power LLC
Edison Sault Power Plant,Sault Ste . Marie,St. Marys River ( Michigan-Ontario ),27,
Five Channels Dam,Oscoda,Au Sable River,6,Consumers Energy
Foote Dam,Oscoda,Au Sable River,9,Consumers Energy
