US,CAN,Single,Artist
-,10,Ai n't No Justice,Greg Hanna
-,3,Almost Always,Chris Cummings
-,4,The Answer Is Yes,Michelle Wright
-,3,Born Again in Dixieland,Jason McCoy
-,9,The Craziest Thing,Rick Tippe
-,19,A Dozen Red Roses,Joan Kennedy
10,1,Emotional Girl,Terri Clark
-,10,Girl Out of the Ordinary,Beverley Mahood
48,7,God Bless the Child,Shania Twain
-,11,Heaven Help Her Heart,Jason McCoy
-,7,I Give You My Word,George Fox
39,1,I Meant to Do That,Paul Brandt
-,1,I 'm Feeling Kind of Lucky Tonight,Charlie Major
-,20,Indian Woman,Montgomery Steele
49,16,Just the Same,Terri Clark
-,3,Let It Rain,Shirley Myers
45,1,A Little in Love,Paul Brandt
-,1,Little Ol ' Kisses,Julian Austin
-,12,A Little Thing Called Love,Beverley Mahood
-,15,Lonely Gypsy Wind,Farmer 's Daughter
