Year,Title,Role
1995,A Walk in the Clouds,Betty Sutton
1997,McHale 's Navy,Lt. Penelope Carpenter
1998,Celebrity,TV reporter
1999,Jesus,Mary Magdalene
2002,The Mothman Prophecies,Mary Klein
2002,Hollywood Ending,Lori
2004,Along Came Polly,Lisa Kramer
2004,Garfield,Arlene
2005,The Wedding Date,Kat Ellis
2006,Open Season,Beth
2007,Purple Violets,Kate Scott
2007,Lucky You,Suzanne Offer
2008,The Women,Edie Cohen
2008,Nothing like the Holidays,Sarah Rodriguez
2014,"Like Sunday , Like Rain",Barbara
2018,Searching,Detective Sergeant Rosemary Vick
2020,Irresistible,
