P,Name,Age,Moving from,Type
DF,Domingos,20,Grêmio,Loan return
DF,Neto,23,Paraná Clube,Signed
FW,Jonas,21,Guarani,Signed
GK,Fábio Costa,28,Corinthians,Signed
GK,Roger,33,São Paulo,Signed
MF,Maldonado,26,Cruzeiro,Signed
MF,Fabinho,26,Cerezo Osaka,Signed
DF,Julio Manzur,25,Guaraní,Signed
FW,Galvão,23,Iraty,Loaned
FW,Reinaldo,26,Kashiwa Reysol,Signed
FW,Gilmar,21,Vitória,Loaned
MF,Cléber Santana,24,Kashiwa Reysol,Signed
DF,Ronaldo Guiaro,31,Besiktas,Signed
MF,Magnum,23,Iraty,Loaned
MF,Rodrigo Tabata,25,Goiás,Signed
FW,Antonio de Nigris,27,Monterrey,Signed
FW,Rodrigo Tiuí,20,Noroeste,Signed
FW,Wellington Paulista,23,Juventus,Loaned
DF,Dênis,22,Ipatinga,Signed
MF,André Oliveira,21,Iraty,Loaned
