No,Position,Player,Nation
1,Goalkeeper,Chris Konopka,United States
2,Defender,Carlos Valdés ( Captain ),Colombia
3,Defender,Chris Albright,United States
4,Defender,Bakary Soumaré,Mali
5,Midfielder,Greg Jordan,United States
6,Midfielder,Gabriel Gómez,Panama
7,Midfielder,Brian Carroll ( Vice-Captain ),United States
8,Midfielder,Roger Torres,Colombia
9,Forward,Jack McInerney ( GA ),United States
11,Midfielder,Freddy Adu ( DP ),United States
12,Forward,Chandler Hoffman ( GA ),United States
13,Midfielder,Michael Lahoud,United States
14,Midfielder,Amobi Okugo ( GA ),United States
15,Midfielder,Gabriel Farfan,United States
17,Forward,Josué Martínez,Costa Rica
18,Goalkeeper,Zac MacMath ( GA ),United States
20,Midfielder,Jimmy McLaughlin ( HGP ),United States
21,Midfielder,Michael Farfan,United States
24,Defender,Porfirio López,Costa Rica
25,Defender,Sheanon Williams,United States
