Frequency,Call sign,Branding,Format,Owner,City of license
AM 570,CKGL,570 News,News / Talk,Rogers Radio,Kitchener
FM 88.3,CJIQ-FM,88.3 CJIQ,"Campus radio , Modern rock",Conestoga College,Kitchener
FM 89.1,CBLA-FM-2,CBC Radio One,"Public radio , talk radio",Canadian Broadcasting Corporation,Paris
FM 89.9,CJBC-FM-2,Ici Musique,"Public radio , variety",Canadian Broadcasting Corporation,Paris
FM 90.7,CBL-FM-2,CBC Music,"Public radio , Adult contemporary",Canadian Broadcasting Corporation,Paris
FM 91.5,CKBT-FM,91.5 The Beat,Contemporary hit radio,Corus Entertainment,Kitchener
FM 93.7,CJTW-FM,Faith FM 93.7,Christian radio,Sound of Faith Broadcasting,Kitchener
FM 96.7,CHYM-FM,96.7 CHYM,Adult contemporary,Rogers Radio,Kitchener
FM 98.5,CKWR-FM,98.5 CKWR,"Community radio , adult standards","Wired World , Inc",Kitchener
FM 99.5,CKKW-FM,KFUN 99.5,Classic hits,Bell Media Radio,Kitchener
FM 102.7,CKMS-FM,102.7 Radio Waterloo,Community radio,"Radio Waterloo , Inc",Waterloo
FM 105.3,CFCA-FM,105.3 Virgin Radio,Contemporary hit radio,Bell Media Radio,Kitchener
FM 106.7,CIKZ-FM,Country 106.7,Country music,Rogers Radio,Kitchener
FM 107.5,CJDV-FM,107.5 Dave FM,Mainstream rock,Corus Entertainment,Kitchener
