Games,Gold,Silver,Bronze
1964 Innsbruck details,Ortrun Enderlein United Team of Germany,Ilse Geisler United Team of Germany,Helene Thurner Austria
1968 Grenoble details,Erica Lechner Italy,Christina Schmuck West Germany,Angelika Dünhaupt West Germany
1972 Sapporo details,Anna-Maria Müller East Germany,Ute Rührold East Germany,Margit Schumann East Germany
1976 Innsbruck details,Margit Schumann East Germany,Ute Rührold East Germany,Elisabeth Demleitner West Germany
1980 Lake Placid details,Vera Zozulya Soviet Union,Melitta Sollmann East Germany,Ingrīda Amantova Soviet Union
1984 Sarajevo details,Steffi Martin East Germany,Bettina Schmidt East Germany,Ute Weiss East Germany
1988 Calgary details,Steffi Walter East Germany,Ute Oberhoffner East Germany,Cerstin Schmidt East Germany
1992 Albertville details,Doris Neuner Austria,Angelika Neuner Austria,Susi Erdmann Germany
1994 Lillehammer details,Gerda Weissensteiner Italy,Susi Erdmann Germany,Andrea Tagwerker Austria
1998 Nagano details,Silke Kraushaar Germany,Barbara Niedernhuber Germany,Angelika Neuner Austria
2002 Salt Lake City details,Sylke Otto Germany,Barbara Niedernhuber Germany,Silke Kraushaar Germany
2006 Turin details,Sylke Otto Germany,Silke Kraushaar Germany,Tatjana Hüfner Germany
2010 Vancouver details,Tatjana Hüfner Germany,Nina Reithmayer Austria,Natalie Geisenberger Germany
2014 Sochi details,Natalie Geisenberger Germany,Tatjana Hüfner Germany,Erin Hamlin United States
2018 Pyeongchang details,Natalie Geisenberger Germany,Dajana Eitberger Germany,Alex Gough Canada
