Name,City,Industry
Acosta Sales and Marketing,Jacksonville,marketing
All Elite Wrestling,Jacksonville,sports entertainment
Bubba Burger,Jacksonville,food
Crowley Maritime,Jacksonville,transportation
CSX Corporation,Jacksonville,transportation
Dell Marine,Jacksonville,motorboats
Elkins Constructors,Jacksonville,construction
"Fanatics , Inc",Jacksonville,retail
Fidelity National Financial,Jacksonville,financial services
FIS,Jacksonville,financial technology
Firehouse Subs,Jacksonville,food
Florida Blue,Jacksonville,insurance
Florida East Coast Railway,Jacksonville,transportation
Florida Coastal School of Law,Jacksonville,education
Florida Times-Union,Jacksonville,media
FRP Holdings,Jacksonville,transportation
Gate Petroleum,Jacksonville,conglomerate
Haskell Company,Jacksonville,construction
Interline Brands,Jacksonville,marketing
Jacksonville Free Press,Jacksonville,media
